Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1807360/,lenobl,"В Ленинградской области бывший руководитель государственного предприятия признан виновным в получении взятки в особо крупном размере, а также превышении и злоупотреблении должностными полномочиями","['коррупция', 'приговор']",18 Марта 2024,"Собранные отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Ленинградской области доказательства признаны судом достаточными для вынесения обвинительного приговора бывшему руководителю Ленинградского областного государственного предприятия «Пригородное дорожное ремонтно-строительное управление № 1». Он признан виновным в совершении преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере), ч. 1 ст. 286 УК РФ (превышение должностных полномочий), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
 
Следствием и судом установлено, что бывший исполняющий обязанности директора Ленинградского областного государственного предприятия «Пригородное дорожное ремонтно-строительное управление № 1», расположенного во Всеволожском районе Ленинградской области, в период с 2018 года по 2020 год получил от генерального директора коммерческой организации взятку в виде оказания услуг имущественного характера на сумму не менее 3 159 089 рублей. Должностному лицу были бессрочно предоставлены транспортные средства на безвозмездной основе за оказание содействия в заключении договоров на выполнение работ и общее покровительство в пользу взяткодателя.Часть из заключенных договоров были оформлены с нарушением действующего законодательства – путем проведения неконкуретной закупки у единственного поставщика, то есть без допуска иных конкурентов этой коммерческой организации к участию в закупке. Тем самым должностное лицо превысило свои полномочия.
 
Кроме того, достоверно зная о том, что возглавляемое им предприятие находится в стадии банкротства, подсудимый заключил сделку с другой организацией об оказании юридических услуг на возмездной основе, имея при этом в своем распоряжении сотрудников предприятия, также занимающихся указанным видом деятельности. Злоупотребив своими должностными полномочиями, подсудимый подписал фиктивные договоры и впоследствии акты приемки-сдачи выполненных услуг, по которым была произведена оплата в сумме 686 256 рублей 89 копеек.
 
Приговором суда подсудимый признан виновным. Ему назначено наказание в виде лишения свободы сроком на 7 лет 10 месяцев условно с испытательным сроком 5 лет с запретом занимать определенные должности сроком на 7 лет со штрафом в 31 000 000 рублей."
/news/item/1710555/,lenobl,Руководителям проектных и строительных организаций по уголовному делу о растрате и коммерческом подкупе Фондом защиты прав граждан – участников долевого строительства Ленинградской области избраны меры пресечения,"['коммерческий подкуп', 'растрата']",15 Марта 2024,"По ходатайству следствия судом двоим обвиняемым руководителям избрана мера пресечения в виде заключения под стражу. В отношении третьего, учитывая, что тот дал признательные показания, изобличающие причастность иных лиц к совершению преступления в составе группы лиц, и взял на себя обязательства по возмещению ущерба в сумме около 200 млн рублей, судом удовлетворено ходатайство следствия об избрании меры пресечения в виде домашнего ареста.
В рамках расследования уголовного дела по факту растраты и коммерческого подкупа в особо крупном размере сотрудниками Фонда защиты прав граждан – участников долевого строительства Ленинградской области следственными органами Следственного комитета России по Ленинградской области установлен факт хищения на сумму более 250 млн рублей, выделенных Фонду на достройку объектов. Задержаны трое руководителей проектных и строительных организаций. Им предъявлено обвинение в совершении преступлений, предусмотренных ч. 4 ст. 160 УК РФ (растрата, совершенная группой лиц по предварительному сговору, в особо крупном размере), а также по ч.4 ст. 204 УК РФ (коммерческий подкуп в особо крупном размере).
 
Следователями следственного управления СКР по Ленинградской области совместно с УФСБ России по Санкт-Петербургу и Ленинградской области и ГУ МВД России по Санкт-Петербургу и Ленинградской области проведены обыски в проектных и строительных организациях, которые, согласно предварительным данным, выполняли работы по существенно завышенной стоимости, поскольку часть работ была фактически выполнена с использованием первоначальной проектной документации, подготовленной еще в 2016-2017 гг. Общая сумма необоснованно израсходованных средств фонда составила более 250 млн рублей. Вышеуказанные преступления совершены при выполнении мероприятий по завершению строительства проблемных объектов ЖК «Тридевяткино царство», ЖК «Щегловская усадьба», ЖК «Яркий», ЖК «Десяткино 2.0», ЖК «Город детства», ЖК «Шотландия», право застройщика которых передано региональному фонду.
В ходе обысков в организациях и по месту жительства руководства и сотрудников изъяты документы и электронные носители информации, представляющие интерес для следствия.
По уголовному делу выполняются необходимые следственные действия, направленные на сбор и закрепление доказательств. Принимаются меры к установлению причин и условий, способствовавших совершению преступления, а также к обеспечению возмещения причиненного ущерба. Расследование уголовного дела продолжается."
/news/item/1215451/,lenobl,Сотрудник МРЭО из Ленинградской области и его подельники подозреваются в злоупотребления должностными полномочиями,[],07 Февраля 2024,"Следственным отделом по городу Приозерск следственного управления Следственного комитета России по Ленинградской области возбуждено уголовное дело в отношении государственного инспектора МРЭО ГИБДД №18 ГУ МВД России по Санкт-Петербургу и Ленинградской области и других лиц. В зависимости от роли каждого, они подозреваются в совершении преступлений, предусмотренных ч. 1 ст. 285, ч.5 ст. 33 -  ч.1 ст.285 УК РФ (злоупотребление должностными полномочиями,  пособничество).
По версии следствия, в период времени с июня по сентябрь 2017 года сотрудник МРЭО, действуя совместно со своими  подельниками, осуществлял незаконную выдачу водительских удостоверений без прохождения необходимых процедур для их получения. В результате преступных действий несколько десятков  лиц (не менее 36) незаконно получили водительские права. Аналогичным способом была налажена работа по незаконному возвращению водительских прав лицам, ранее лишенным права управления транспортными средствами.
В ходе расследования данного уголовного дела 04 апреля 2018 года сотрудниками СК России по Ленинградской области совместно с оперативниками ОРЧ (СБ) ГУ МВД России по Санкт-Петербургу и Ленинградской области и ОЭБ и ПК ОМВД России по Приозерскому району  был проведен ряд обысков на территории Всеволожского и Приозерского районов Ленинградской области, в ходе которых были обнаружены и изъяты денежные средства, печати, бланки и иная документация, представляющая интерес для следствия.  Кроме того был произведен многочасовой осмотр помещений МРЭО ГИБДД №18, расположенного в городе Приозерск, в ходе которого также были изъяты деньги и документы, представляющие большой интерес.
По подозрению в совершении данного преступления задержаны трое лиц - государственный инспектор МРЭО ГИБДД №18 ГУ МВД России по Санкт-Петербургу и Ленинградской области и двое его пособников.
В настоящее время следователями проводятся необходимые следственные действия, направленные на установление всех обстоятельств совершенного преступления.  Решается вопрос об избрании им меры пресечения и предъявления обвинения.
Кроме того, следствие намеревается проверять указанных лиц следственным путем на причастность к совершению аналогичных преступлений. Расследование уголовного дела продолжается."
/news/item/1851886/,lenobl,В Ленинградской области перед судом предстанет заместитель генерального директора ООО Распределительная сетевая компания «Региональные электрические сети»,['взятка'],09 Января 2024,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Ленинградской области завершено расследование уголовного дела в отношении заместителя генерального директора ООО Распределительная сетевая компания «Региональные электрические сети». Он обвиняется в совершении преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки должностному лицу в особо крупном размере).
 
Следствием установлено, что в период с 21.02.2020 по 05.06.2020 заместитель генерального директора сетевой компании ООО РСК «РЭС» лично и через посредника передал должностным лицам филиала Публичного акционерного общества «Федеральная сетевая компания Единые энергетические системы» «Магистральные электрические сети Северо-Запада» взятку в особо крупном размере за общее покровительство со стороны «МЭС» деятельности ООО РСК «РЭС», связанной с оказанием услуг по передаче электроэнергии потребителям, а также услуг по технологическому присоединению потребителей к федеральным электрическим сетям Единой энергетической системы Российской Федерации.
 
В ходе следствия  на имущество обвиняемого наложен арест на общую сумму более 2,5 млн рублей.
 
По уголовному делу проведен значительный комплекс мероприятий, направленный на сбор и закрепление доказательств. В связи с чем уголовное дело с утвержденным обвинительным заключением в ближайшее время будет направлено в суд для рассмотрения по существу.
 
В отношении бывшего директора по развитию сети «МЭС» в настоящее время вынесен обвинительный приговор, уголовное дело в отношении начальника отдела технологического присоединения «МЭС» находится на рассмотрении суда."
/news/item/1838756/,lenobl,В Лодейном Поле бывшие должностные лица администрации Янегского сельского поселения признаны виновными в совершении коррупционного преступления,"['взятка', 'приговор']",08 Декабря 2023,"Собранные Лодейнопольским межрайонным следственным отделом Су СК России по Ленинградской области доказательства признаны судом достаточными для вынесения приговора бывшим главе МО «Янегское сельское поселение» и главе администрации указанного муниципального образования. Они признаны виновными в совершении преступления, предусмотренного пп. ""а,в"" ч. 5 ст. 290 УК РФ (получение должностными лицами лично взятки в виде денег за совершение действий, входящих в их служебные полномочия, группой лиц по предварительному сговору, в крупном размере).
 
Следствием установлено, что указанные должностные лица в ноябре 2019 года получили взятку в сумме 600 тыс. рублей от лица, действовавшего в рамках оперативно-розыскного мероприятия, за заключение с данным лицом муниципального контракта на приобретение жилых помещений для переселения граждан из аварийного жилищного фонда в рамках реализации национального проекта «Жилье и городская среда».
 
Суд назначил бывшей главе МО «Янегское сельское поселение» наказание в виде 7 лет лишения свободы со штрафом в размере 1,2 млн рублей с отбыванием наказания в исправительной колонии общего режима.
Бывший глава администрации МО «Янегское сельское поселение» осужден к 7 годам лишения свободы в исправительной колонии строгого режима со штрафом в размере 1, 2 млн рублей.
Одновременно по приговору суда подсудимые лишены права занимать должности представителей власти в органах местного самоуправления, органах государственной власти сроком на 7 лет.
Приговор в законную силу не вступил."
/news/item/1508471/,lenobl,"В Выборге задержан глава администрации МО «Выборгский район» Ленинградской области по подозрению в мошенничестве, повлекшем ущерб на сумму свыше 700 млн рублей","['мошенничество', 'СКР']",04 Декабря 2023,"Отделом по расследованию особо важных дел Следственного управления Следственного комитета России по Ленинградской области по подозрению в мошенничестве, совершенном группой лиц по предварительному сговору (ч.4 ст.159 УК РФ) задержан глава администрации МО «Выборгский район» Ленинградской области.
По данным следствия, подозреваемый, являясь должностным лицом, не позднее 31 июля 2019 года, действуя умышленно, группой лиц  по предварительному сговору совместно с председателем комитета финансов администрации МО «Выборгский район» и иными лицами, действуя путем обмана подчиненных сотрудников, используя документы, в которые были внесены заведомо ложные сведения о якобы выполненных работах, в том числе по капитальному и текущему ремонтам зданий и помещений, расположенных в городе Выборг Ленинградской области, которые в действительности не выполнялись, организовали оплату за счет средств местного бюджета МО «Выборгский район» Ленинградской области путем перевода денежных средств на счета подконтрольных юридических лиц на общую сумму свыше 700 млн рублей. Похищенные денежные средства распределили между собой и распорядились ими по своему усмотрению, нарушив охраняемые законом интересы общества и государства.  
В рамках расследования уголовного дела следователи регионального управления СК совместно ГУ МВД России по Санкт-Петербургу и Ленинградской области провели ряд обысков по месту жительства и работы подозреваемого.
Подозреваемый задержан органами следствия в порядке ст.91 УПК РФ.
Проводятся следственные действия, направленные на установление всех обстоятельств и соучастников преступления, а также причин и условий, способствовавших совершению преступления.  Следствием принимаются меры, направленные на возмещение ущерба. Расследование уголовного дела продолжается."
/news/item/1695551/,lenobl,В Ленинградской области бывший сотрудник ДПС признан виновным в получении взятки,"['взятка', 'приговор']",15 Ноября 2023,"Собранные следственным отделом по городу Приозерск следственного управления Следственного комитета Российской Федерации по Ленинградской области доказательства признаны судом достаточными для вынесения приговора бывшему инспектору ОДПС ОГИБДД ОМВД России по Приозерскому району. Он признан виновным в совершении преступления, предусмотренного 3 ст. 290 УК РФ (получение взятки).
 
Следствием и судом установлено, что, подсудимый, являясь должностным лицом, находясь при исполнении служебных обязанностей, прибыл на место ДТП, в результате которого двое граждан скончались на месте от полученных травм. Виновный водитель управлял автотранспортным средством в состоянии алкогольного опьянения, без государственных регистрационных знаков. Желая избежать привлечения к административной ответственности, он предложил старшему инспектору ДПС взятку за не проведение освидетельствования для установления факта управления транспортным средством в состоянии алкогольного опьянения и не направление на медицинское освидетельствование. В результате подсудимый получил часть взятки от водителя, вторую часть через посредника в общей сумме 100 тыс. рублей.
 
Судом подсудимый признан виновным. Ему назначено наказание в виде штрафа в размере 480 тыс. рублей."
/news/item/1639657/,lenobl,В Ленинградской области взяткодателю не удалось подкупить сотрудника таможни,"['взятка', 'коррупция']",14 Ноября 2023,"Следственными органами Следственного комитета Российской Федерации по Ленинградской области в отношении мужчины  1963 г.р. по возбуждено уголовное дело по признакам преступления, предусмотренного ч. 5 ст. 291 УК РФ (дача взятки в особо крупном размере).
По данным следствия, подозреваемый с целью незаконного перемещения через таможенную границу табачных изделий передал взятку в сумме свыше 26 тыс. Евро сотруднику таможни. В ходе осуществления комплекса оперативно-розыскных мероприятий  взяткодатель был задержан сотрудниками Управления ФСБ России по г. Санкт-Петербургу и Ленинградской области. 
В настоящее время подозреваемый задержан органами следствия в порядке ст. 91 УПК РФ. Следствием подготовлено ходатайство в суд об избрании ему меры пресечения в виде заключения под стражу. 
По уголовному делу проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления. Устанавливаются иные эпизоды преступной деятельности подозреваемого. Принимаются меры к установлению причин и условий, способствовавших совершению преступления.
 Расследование уголовного продолжается."
/news/item/1142540/,lenobl,"В городе Всеволожск Ленинградской области возбуждено уголовное дело в отношении полицейских, подозреваемых во взяточничестве",[],13 Ноября 2023,"Следственным отделом по городу Всеволожск следственного управления Следственного комитета Российской Федерации по Ленинградской области совместно с ОРЧ (СБ) ГУ МВД России по г. Санкт-Петербургу и Ленинградской области выявлен факт получения полицейскими роты полиции ОВО по Всеволожскому району Ленинградской области – филиала ФГКУ ГУ МВД России по Санкт-Петербургу и Ленинградской области взятки в размере 24 тысяч рублей, что послужило основанием возбуждения уголовного дела в их отношении по признакам преступления, предусмотренного п. «а, б» ч. 5 ст. 290 УК РФ (получение взятки за незаконные действия группой лиц, сопряженное с вымогательством).
22 сентября 2016 года сотрудники роты полиции ОВО по Всеволожскому району Ленинградской области, находясь при исполнении своих должностных обязанностей, на Колтушском шоссе города Всеволожска Ленинградской области остановили транспортное средство под управлением мужчины, находящегося в состоянии алкогольного опьянения. Действуя из корыстных побуждений, полицейские забрали у задержанного свидетельство о регистрации транспортного средства, потребовав от него взятку в виде денег в сумме 25 тысяч рублей за непринятие мер по документированию совершенного правонарушения. Поскольку денежных средств у задержанного не оказалось, они договорились о встрече 25 сентября 2016 года. В указанный день мужчина встретился с сотрудниками полиции, и сообщил, что денежные средства собрать не смог, в результате чего полицейские, в подтверждение серьезности своих намерений, отобрали у него транспортное средство, пообещав вернуть его после получения денег.
27 сентября 2016 года полицейские, находясь на территории Всеволожского района Ленинградской области, вновь встретились с мужчиной, и получили от него взятку в виде денег в размере 24 тысяч рублей, после чего были задержаны сотрудниками ОРЧ (СБ) ГУ МВД России по г. Санкт-Петербургу и Ленинградской области.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего."
/news/item/1263070/,lenobl,"В Ломоносовском районе Ленобласти возбуждено уголовное дело в отношении полицейских, подозреваемых во взяточничестве",[],09 Ноября 2023,"Сосновоборским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ленинградской области совместно с ОРЧ (СБ) ГУ МВД России по г. Санкт-Петербургу и Ленинградской области выявлен факт получения сотрудниками полиции 114 отдела полиции ОМВД России по Ломоносовскому району Ленинградской области взятки в размере 70 тысяч рублей, по признакам преступления, предусмотренного п. «а, б» ч. 5 ст. 290 УК РФ (получение взятки, совершенное группой лиц, с вымогательством взятки).
По данным следствия, 15 октября 2018 года участковый уполномоченный полиции, находясь на территории деревни Яльгелево Ломоносовского района Ленобласти, получила от гендиректора коммерческой организации  взятку в сумме 70 тысяч рублей, за непринятие мер по привлечению к административной ответственности в связи с незаконным размещением рекламы. После получения денег сотрудница полиции была задержана с поличным. Впоследствии, были задержаны еще двое полицейских, причастных к совершению данного преступления.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств произошедшего, решается вопрос об избрании подозреваемым меры пресечения.
Следственное управление Следственного комитета Российской Федерации по Ленинградской области намерено и впредь жестко пресекать все факты коррупции в государственных и правоохранительных органах, невзирая на чины и должности."
