Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1758267/,nnovgorod,"В городе Нижний Новгород задержан полицейский, подозреваемый в мошенничестве (Видео-комментарий)","['мошенничество', 'полицейский']",25 Апреля 2024,"Следователем второго отдела по расследованию особо важных дел СУ СК России по Нижегородской области возбуждено уголовное дело в отношении бывшего заместителя начальника полиции по оперативной работе ОМВД России по Арзамасскому району, подозреваемого в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество в особо крупном размере).
По версии следствия, в июне 2022 года подозреваемый, совместно с соучастниками, прибыв в производственное помещение, расположенное в деревне Новая Слобода Арзамасского района, не имея законных оснований, сообщил собственнику заведомо ложные сведения о якобы законности своих действий и изъял линию по упаковке табачных изделий стоимостью не менее 10 миллионов рублей.
Его противоправные действия выявлены и пресечены следователями СК во взаимодействии с оперативными сотрудниками УФСБ и ГУ МВД по Нижегородской области.
Подозреваемый задержан. Вину по предъявленному обвинению он не признал, заключен под стражу.
В настоящее время следователи СК проводят комплекс следственных действий, в том числе и направленные на установление лиц, причастных к соучастию в совершении данного преступления.
Комментарий: старший помощник руководителя СУ СК России по Нижегородской области Ю. Склярова"
/news/item/1143651/,nnovgorod,"В Балахнинском районе перед судом предстал бывший директор многофункционального центра, обвиняемая в халатности и присвоении денежных средств",[],25 Апреля 2024,"Балахнинским МСО СУ СК России по Нижегородской области завершено расследование уголовного дела по обвинению бывшего директора МУ «МФЦ» МО р.п. Большое Козино (Муниципальное Учреждение «Многофункциональный центр предоставления государственных и муниципальных услуг населению») в совершении преступлений, предусмотренных ч. 1 ст. 293 УК РФ (халатность) и ч. 3 ст. 160 УК РФ (присвоение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения).
      По версии следствия, с августа 2013 года по декабрь 2014 года  обвиняемая ненадлежащим образом отнеслась к исполнению своих должностных обязанностей, что позволило сотруднику учреждения совершить хищение бюджетных и собранных с населения средств на сумму, превышающую 2 миллиона 666 тысяч рублей. Обвиняемая в указанный период работы не обеспечила надлежащее состояние и достоверность бухгалтерского учета и не осуществляла контроль за работой сотрудников учреждения.
     Кроме того, без согласования с работодателем обвиняемая издала приказы о своем премировании по итогам работы за 2012 и 2013 года. В результате незаконного премирования она присвоила денежные средства в размере 67 тысяч рублей.
     В настоящее время уголовное дело после утверждения обвинительного заключения направлено в суд для рассмотрения по существу.
     Для сведения, бывший главный бухгалтер МУ «МФЦ» признана виновной в совершении преступления, предусмотренного ч. 4 ст. 160 УК РФ за присвоение и растрату денежных средств на сумму, превышающую 2 миллиона 666 тысяч рублей и ей назначено наказание в виде реального лишения свободы с отбыванием в колонии общего режима."
/news/item/1711824/,nnovgorod,"В Чкаловском районе Нижегородской области перед судом предстанет бывший начальник отдела медицинского учреждения, обвиняемый в превышении должностных полномочий (Фотографии)","['превышение полномочий', 'СКР', 'следователь СК']",08 Апреля 2024,"Следователем Балахнинского межрайонного следственного отдела  СУ СК России по Нижегородской области завершено расследование уголовного дела в отношении бывшего начальника хозяйственного отдела Чкаловской центральной районной больницы, обвиняемого в совершении преступления, предусмотренного ч. 1 ст. 286 УК РФ (превышение должностных полномочий).
По версии следствия, в 2021 года обвиняемый подписал акт выполненных работ по контракту с подрядчиком о проведении капитального ремонта внутренних помещений инфекционного отделения ЦРБ. Вместе с тем, в ноябре 2021 года надзорной проверкой было установлено, что материал, из которого был выполнен подвесной потолок в помещениях указанного отделения, не соответствует указанному в контракте, а также не отвечает санитарным требованиям.  
Установлено, что противоправными действиями обвиняемого медицинскому учреждению причинен ущерб на сумму свыше 100 тысяч рублей.
Обвиняемый вину в совершении инкриминируемого деяния признал, причиненный ущерб возместил.
В настоящее время уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1091682/,nnovgorod,В Нижегородской области следователями СК России завершено расследование уголовного дела в отношении главы поселковой администрации Лукояновского района Нижегородской области,[],01 Апреля 2024,"Следователями второго отдела по расследованию особо важных дел следственного управления СК России завершено расследование уголовного дела в отношении главы администрации р.п. им. Степана Разина Лукояновского муниципального района Нижегородской области, обвиняемого в совершении преступления, предусмотренного ч. 6 ст. 290 (получение взятки в особо крупном размере), ч. 3 ст. 260 (незаконная рубка лесных насаждений), ч. 3 ст. 191.1 (сбыт незаконно добытой древесины), ч. 1 ст. 222 УК РФ (незаконное приобретение, хранение боеприпасов).
По версии следствия, 30 декабря 2015 в утреннее время обвиняемый, находясь в своем рабочем кабинете, расположенном в доме по ул. Ленина, р.п. им. Степана Разина, Лукояновского района получил от предпринимателя взятку в особо крупном размере в виде денег в сумме 1 миллион 100 тысяч рублей за незаконные действия в виде принятия решения о передаче ему в аренду сроком на 11 месяцев земельного участка площадью 625 кв.м., расположенного в районном поселке, без публикации извещения о предоставлении земельного участка и проведения торгов.
Как установили следователи СК России, в период с сентября по декабрь 2015 года глава администрации, являясь должностным лицом, осуществлял незаконную рубку лесных насаждений и сбыт незаконно добытой древесины на территории Лукояновского района Нижегородской области.
 Кроме того, в январе 2016 года в ходе обыска в жилище обвиняемого следователями регионального следственного управления обнаружены и изъяты боеприпасы (военные патроны).
Обвиняемый от дачи показаний отказался, воспользовавшись положениями ст. 51 Конституции РФ. Ему избрана мера пресечения в виде подписки о невыезде и надлежащем поведении.
В настоящее время уголовное дело после утверждения прокурором обвинительного заключения направлено в суд для рассмотрения по существу."
/news/item/1011450/,nnovgorod,"В Богородском районе перед судом предстанет бывший врач, обвиняемая во взяточничестве и служебных пологах",[],21 Марта 2024,"Следователем Богородского МСО Следственного комитета завершено расследование уголовного дела по обвинению бывшего врача оториноларинголога поликлиники ГБУЗ НО «Богородская ЦРБ» в совершении  преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки должностным лицом за незаконные действия – 6 эпизодов), ч. 1 ст. 292 УК РФ (служебный подлог – 6 эпизодов).
По версии следствия с января по апрель 2015 года 53-летняя обвиняемая систематически получала взятки от пациентов за незаконную выдачу листков временной нетрудоспособности, в которые вносила заведомо ложные сведения о наличии у пациентов соответствующих заболеваний. За свои незаконные действия она получала от граждан от 600 до 2.5 тысяч рублей. Впоследствии пациенты – взяткодатели предъявляли подложные листки временной нетрудоспособности работодателям, получая незаконное освобождение от работы.
Обвиняемая в ходе расследования уволена из медицинского учреждения. Вину в содеянном она не признала.
В настоящее время уголовное дело после утверждения прокурором района обвинительного заключения направлено в суд для рассмотрения по существу."
/news/item/1276379/,nnovgorod,"В ЗАТО г. Саров Нижегородской области сотрудник отдела строительного контроля Департамента капитального строительства подозревается в получении взятки в размере 1 миллион рублей, совершенном с вымогательством","['взятка', 'вымогательство']",19 Марта 2024,"Следователями СО ЗАТО г. Саров следственного управления Следственного комитета России по Нижегородской области возбуждено уголовное дело в отношении ведущего инженера по надзору за строительством отдела строительного контроля Департамента капитального строительства ФГУП «РФЯЦ-ВНИИЭФ», подозреваемого в совершении преступления, предусмотренного п.п. «б, в» ч. 5 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег за совершений действий в пользу взяткодателя, если указанные действия входят в служебные полномочия должностного лица, совершенные с вымогательством взятки, в крупном размере).
По версии следствия, 21 ноября 2018 года, подозреваемый вымогал взятку в размере 1 миллион рублей у заместителя директора по производству ОП «Саров» АО «Электрон» (инжиниринговая компании в составе ядерного оружейного комплекса Государственной корпорации по атомной энергии «Росатом»), угрожая совершить действия,  которые могут причинить ущерб его законным интересам, и также интересам сотрудников компании. А именно – отказ в подписании актов выполненных работ за октябрь-ноябрь 2018 года и в последующие месяцы.
27 ноября 2018 года в офисе обособленного подразделения ОП «Саров» АО «Электрон» обвиняемый получил взятку в виде денег в сумме 1 миллион рублей за утверждение актов выполненных работ за октябрь-ноябрь в рамках Государственного контракта по реконструкции и техническому перевооружению систем физической защиты объектов ядерного центра.
В ближайшее время подозреваемому будет предъявлено обвинение и избрана мера пресечения.
Расследование уголовного дела продолжается."
/news/item/1196021/,nnovgorod,"В Нижегородской области Александру Бочкареву, обвиняемому в коммерческом подкупе, продлен срок домашнего ареста",['коммерческий подкуп'],19 Марта 2024,"Следственными органами Следственного комитета России по Нижегородской области расследуется уголовное дело в отношении председателя одной из политических партий Александра Бочкарева в совершении преступления, предусмотренного ч. 3 ст. 204 УК РФ (коммерческий подкуп, совершенный в крупном размере).
16 января 2018 года судом удовлетворено ходатайство следователя СК о продлении обвиняемому меры пресечения в виде домашнего ареста до 19 марта 2018 года.
Напоминаем, что по версии следствия, в июне 2015 года в г. Н. Новгород обвиняемый получил от гражданина 5 миллионов рублей за включение его в муниципальный список кандидатов в депутаты городской Думы города Нижнего Новгорода VI созыва для выдвижения от указанной партии. Однако по результатам выборов гражданин не был избран депутатом городской Думы. Вину в инкриминируемом деянии обвиняемый не признал.  
В настоящее время следователи осуществляют комплекс необходимых следственных действий, направленных на сбор и закрепление доказательств по уголовному делу.
Расследование продолжается."
/news/item/1723444/,nnovgorod,В Канавинском районе г. Н.Новгорода по факту превышения должностных полномочий при капитальном ремонте школы возбуждено уголовное дело (видео-комментарий),['СКР'],19 Марта 2024,"Следователем следственного отдела по Канавинскому району г. Н. Новгорода СУ СК России по Нижегородской области возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 286 УК РФ (превышение должностных полномочий).  
Основанием для возбуждения уголовного дела послужили материалы прокурорской проверки, поступившие в порядке ст. 37 УПК РФ. 
По версии следствия, в декабре 2020 года между муниципальным казенным учреждением по капитальному строительству  и коммерческой организацией заключен государственный контракт на выполнение работ по капитальному ремонту здания школы, расположенной на территории г.Н.Новгорода,  стоимостью более 39 миллионов рублей. 
В декабре 2021 года сторонами подписан акт о приемке выполненных работ, предусмотренных контрактом. При этом фактически работы в полном объеме выполнены не были. 
В настоящее время следователями СК проводится комплекс следственных действий, направленный на установление всех обстоятельств совершенного преступления, в том числе, выясняется окончательная сумма, причиненного ущерба.
Комментарий: и. о. старшего помощника руководителя (по информационному взаимодействию с общественностью и СМИ) по Нижегородской области Ольга Круглова"
/news/item/1271352/,nnovgorod,"В Сормовском районе г. Н.Новгород перед судом предстал сотрудник ресурсоснабжающей организации, обвиняемый во взяточничестве",[],18 Марта 2024,"Следователями СО по Сормовскому району следственного управления Следственного комитета по Нижегородской области завершено расследование уголовного дела по обвинению заместителя начальника участка водоснабжающей компании, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение должностным лицом лично взятки в виде денег за незаконное действие).
           По версии следствия, в декабре 2017 года обвиняемый, заведомо зная, что работы по устройству сетей канализации здания многофункционального назначения, расположенного вдоль ул. Бурнаковской, выполнены ненадлежащим образом, за взятку от представителя субподрядной организации в размере 37 тысяч рублей составил акт о готовности объекта к присоединению сетей и сооружений объекта к централизованным системам водоотведения.
Вину по предъявленному обвинению обвиняемый признал полностью.
В настоящее время уголовное дело после утверждения прокурором обвинительного заключения направлено в суд, где рассматривается по существу."
/news/item/1729002/,nnovgorod,"В Автозаводском районе г. Н.Новгорода перед судом предстанет бывший налоговый инспектор, обвиняемый во взяточничестве","['взятка', 'налоговый орган', 'СКР', 'следователь СК']",14 Марта 2024,"Следователем СО по Автозаводскому району г. Н.Новгорода СУ СК России по Нижегородской области завершено расследование уголовного дела по обвинению бывшего старшего государственного налогового инспектора межрайонной ИФНС России по Нижегородской области в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки – 2 эпизода).
Установлено, что с ноября 2021 года по июль 2022 года обвиняемый неоднократно получал взятки за не привлечение предпринимателя к административной ответственности по ч. 2 ст. 14.5 КоАП РФ (продажа товаров, выполнение работ либо оказание услуг при отсутствии установленной информации либо неприменение в установленных федеральными законами случаях контрольно-кассовой техники). Общая сумма взятки составила 50 тысяч рублей.
14 июля 2022 года на пр. Ленина в Автозаводском районе г. Н.Новгорода он был задержан при получении очередной части взятки от индивидуального предпринимателя, работающего в сфере общественного питания.
Противоправные действия подозреваемого выявлены и пресечены следователями СК совместно с оперативными сотрудниками полиции.
Вину по предъявленному обвинению фигурант не признал.
С занимаемой должности он уволен.
В настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
