Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1547158/,smolensk,Житель Сафоново признан виновным в даче взятки сотруднику полиции,"['взятка', 'приговор']",22 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Смоленской области доказательства признаны судом достаточными для вынесения приговора в отношении 21-летнего жителя Сафоново. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки).
Следствием и судом установлено, что в июне прошлого года дознавателем отдела дознания МО МВД России «Сафоновский» в отношении подсудимого было возбуждено уголовное дело по признакам преступления предусмотренного ст. 322.3 УК РФ по факту фиктивной регистрации иностранного гражданина.
10 июля  мужчина, находясь в служебном кабинете передал дознавателю денежные средства в сумме 15 тысяч рублей в качестве взятки за прекращения уголовного преследования в отношении него, поместив денежные средства между листами уголовного дела, предоставленного ему для ознакомления.   Лейтенант полиции отказалась принять данные денежные средства и сообщила о коррупционном предложении в дежурную часть отдела полиции.
В ходе следствия мужчина в полном объеме признал вину в совершенном преступном деянии и раскаялся в содеянном.
Приговором суда подсудимому назначено наказание в виде 3 лет лишения свободы условно. Приговор вступил в законную силу."
/news/item/1728208/,smolensk,В Смоленске бывший сотрудник следственного изолятора признан виновным в получении взяток,"['взятка', 'СКР', 'следователь СК']",08 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Смоленской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшего сотрудника уголовно-исполнительной системы. Он признан виновным в совершении 4 эпизодов получения взяток за незаконные действия в значительном размере (ч. 3 ст. 290 УК РФ).
Следствием и судом установлено, что в период с марта по август прошлого года младший инспектор следственного изолятора неоднократно получал взятки в виде денег за передачу осужденному запрещенных предметов. Общая сумма незаконно полученного вознаграждения составила около 90 тыс. рублей.
Приговором суда подсудимому назначено наказание в виде 2 лет 6 месяцев лишения свободы с отбыванием наказания в исправительной колонии общего режима с лишением права занимать должности на государственной службе, связанные с выполнением функций представителя власти, сроком на 2 года 6 месяцев."
/news/item/1464137/,smolensk,В Смоленске два сотрудника автодорожного надзора задержаны по подозрению в получении взятки,['взятка'],28 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Смоленской области возбуждено уголовное дело в отношении начальника информационно-аналитического отдела и начальника отдела автотранспортного и автодорожного надзора Западного межрегионального управления государственного автодорожного надзора Центрального федерального округа Федеральной службы по надзору в сфере транспорта. Они подозреваются в совершении преступления предусмотренного п. «а» ч.5 ст.290 УК РФ (получение взятки группой лиц по предварительному сговору). 
По версии следствия, в апреле 2020 года, подозреваемые получили от представителя коммерческой организации взятку в размере 50 тысяч рублей, за решение вопроса об оформлении удостоверений допуска к осуществлению международных перевозок 55 автомашин.
Коррупционное преступление выявлено сотрудниками регионального управления ФСБ России по Смоленской области.  
Подозреваемые задержаны, по месту их жительства, а также в служебных кабинетах проведены обыски, в ходе которых обнаружена и изъята крупная сумма денежных средств.
Следователи СК продолжают выполнять комплекс мероприятий, направленных на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1547694/,smolensk,Мужчина подозревается в покушении на дачу взятки сотруднику отдела по вопросам миграции,"['взятка', 'покушение']",25 Января 2024,"Следственными органами Следственного комитета РФ по Смоленской области возбуждено уголовное дело в отношении гражданина иностранного государства.  Он подозревается в совершении преступления предусмотренного ч.3 ст.30 - ч.3  ст. 291 УК РФ (покушение на дачу взятки). 
По версии следствия, 5 марта текущего года, подозреваемый в служебном кабинете попытался дать взятку в размере 15 тысяч рублей инспектору отдела по вопросам миграции ОМВД России по Смоленскому району за не привлечение его к административной ответственности.
Представитель органов власти отказалась от взятки и сообщила о коррупционном предложении, после чего взяткодатель был задержан.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1374966/,smolensk,"Перед судом предстанет гражданин Республики Азербайджан, обвиняемый в даче взятки сотруднику Пограничного управления ФСБ",['взятка'],18 Января 2024,"Следственными органами Следственного комитета Российской Федерации по Смоленской области завершено расследование уголовного дела в отношении 35-летнегогражданина Республики Азербайджан. Он обвиняется в совершении преступления, предусмотренного ч.3 ст. 291 УК РФ (дача взятки должностному лицу).
По версии следствия, 26 мая текущего года в административном здании отделения пгт.Хиславичи Пограничного управления ФСБ России по области мужчина передал взятку в размере 50 тысяч рублей оперуполномоченному отделения Пограничного управления за отказ от проведения в отношении него проверочных мероприятий по факту провоза яблок без необходимых документов. Ранее сотрудник ФСБ сообщил о поступившем коррупционном предложении в правоохранительные органы, после чего действовал в рамках оперативно-розыскного мероприятия.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело после утверждения обвинительного заключения направлено в суд для рассмотрения по существ"
/news/item/1492215/,smolensk,Завершено расследование уголовного дела по факту дачи взятки сотруднику полиции,['взятка'],28 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Смоленской области завершено расследование уголовного дела в отношении 51-летнего жителя Смоленского района. Он обвиняется в совершении преступления, предусмотренного ч. 1 ст. 291.2 УК РФ (дача взятки лично в размере, не превышающем десяти тысяч рублей). 
По версии следствия, 21 апреля текущего года инспекторы ДПС группы ДПС МОтд МВД России «Велижское» на 74 километре автодороги «Ольша-Велиж-Невель» остановили автомобиль «ГАЗ-А22R32», в грузовом отсеке которого был обнаружен квадроцикл «YAMAHA GRIZZLY 700» без государственных регистрационных знаков. На просьбу сотрудников полиции предоставить документы на квадроцикл, один из пассажиров автомашины ответил, что документы отсутствуют, а собственником является обвиняемый, который находится в Смоленске. Сотрудниками полиции было принято решение сопроводить данный автомобиль вместе с квадроциклом в отделение полиции для дальнейшего разбирательства. В это же день обвиняемый прибыл в МОтд МВД России «Велижское», где в служебном кабинете передал взятку начальнику отделения уголовного розыска в размере 10 тысяч рублей за возврат квадроцикла и непроведение проверки по факту отсутствия номеров узлов и агрегатов транспортного средства. Сотрудник полиции отказался от коррупционного предложения и после передачи денежных средств, мужчина был задержан оперативными сотрудниками.
В ходе следствия обвиняемый в полном объеме признал вину в совершенном преступном деянии и добровольно возместил вред.
Следствием собрана достаточная доказательственная база и на основании ст. 25.1 УПК РФ уголовное дело с ходатайством о назначении меры уголовно-правового характера в виде судебного штрафа направлено в суд для рассмотрения по существу."
/news/item/1677000/,smolensk,В Рославле мужчина подозревается в покушении на дачу взятки сотруднику полиции,"['взятка', 'СКР', 'следователь СК']",13 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Смоленской области в отношении 50-летнего мужчины возбуждено уголовное дело по факту покушения на дачу взятки в размере, не превышающем десяти тысяч рублей (ч. 3 ст. 30, ч. 1 ст. 291.2 УК РФ – покушение на мелкое взяточничество).
Предварительно установлено, что 19 апреля текущего года сотрудниками ГИБДД в Рославле был остановлен автомобиль под управлением 50-летнего водителя, у которого имелись признаки опьянения. Подозреваемый, не желая быть привлеченным к ответственности за совершенные административные правонарушения, предусмотренные ч. 1 ст. 12.26 КоАП РФ и ст. 12.6 КоАП РФ, передал взятку в размере 5500 рублей инспектору ДПС за не составление в отношении него административного материала. О совершенном преступлении полицейский незамедлительно сообщил в дежурную часть отдела полиции.
Следователи продолжают выполнять комплекс мероприятий, направленных на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1842260/,smolensk,В Смоленске возбуждено уголовное дело о коррупционном преступлении,['взятка'],05 Декабря 2023,"Следственными органами Следственного комитета РФ по Смоленской области возбуждено уголовное дело в отношении мужчины.  Он подозревается в совершении преступления предусмотренного ч.3 ст.291 УК РФ (дача взятки). 
По версии следствия, 27 ноября текущего года, подозреваемый в служебном кабинете межмуниципального отделения МВД России «Велижское» передал взятку начальнику отдела уголовного розыска за непроведение проверки и непривлечение его родственницы к уголовной ответственности по факту нарушения миграционного законодательства.
Представитель органов власти отказался от взятки и незамедлительно сообщил о коррупционном предложении, после чего мужчина был задержан.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления и закрепление доказательственной базы. Следствие намерено ходатайствовать перед судом об избрании в отношении подозреваемого меры пресечения в виде заключения под стражу."
/news/item/1192301/,smolensk,В отношении начальника Смоленской таможни избрана мера пресечения в виде заключения под стражу,"['взятка', 'коррупция']",04 Декабря 2023,"Следственным управлением Следственного комитета РФ по Смоленской области по материалам оперативно-розыскной деятельности, поступившим из регионального УФСБ России, возбуждено уголовное дело в отношении начальника Смоленской таможни и заместителя начальника отдела таможенного оформления. Они подозреваются в получении взятки в виде имущества в особо крупном размере за содействие в предпринимательской деятельности, связанной с таможенным оформлением грузов (ч. 6 ст. 290 УК РФ).
По ходатайству следствия судом в отношении начальника Смоленской таможни избрана мера пресечения в виде заключения под стражу.
В настоящее время по уголовному делу продолжаются следственные действия."
/news/item/1483756/,smolensk,Житель Смоленской области подозревается в даче взятки сотруднику полиции,['взятка'],04 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Смоленской области возбуждено уголовное дело в отношении местного жителя. Он подозревается в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки).
По версии следствия, 19 июля текущего года подозреваемый, находясь в салоне автомашины ДПС ОГИБДД МО МВД России «Сафоновский» напротив д.3 мкр.1 города Сафоново, передал лейтенанту полиции денежные средства в сумме 11 тысяч рублей в качестве взятки, за не составление в отношении него протокола об административном правонарушении за оставление места дорожно-транспортного происшествия.
Инспектор ДПС сообщил о коррупционном преступлении в правоохранительные органы. 
 Следователи продолжают выполнять комплекс мероприятий, направленных на выяснение всех обстоятельств произошедшего, сбор и закрепление доказательственной базы.  Расследование уголовного дела продолжается."
/news/item/1276934/,smolensk,"В Гагарине начался суд над жителем Московской области, обвиняемым в посредничестве во взяточничестве","['взятка', 'посредничество']",01 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Смоленской области завершено расследование уголовного дела в отношении 43-летнего жителя Московской области.  Он обвиняется в совершении преступления предусмотренного ч. 2 ст. 291.1 УК РФ (посредничество во взяточничестве). 
Следствием установлено, что 10 июля 2018 года мужчина в служебном кабинете межмуниципального отдела полиции «Гагаринский» в интересах своего знакомого передал взятку в размере 50 тысяч рублей сотруднику отдела по борьбе с экономическими преступлениями и противодействию коррупции за принятие решения об отказе в возбуждении уголовного дела по материалу проверки и возврате ранее изъятой компьютерной техники. Передача взятки проводилась под контролем сотрудников полиции, после чего мужчина был задержан. 
По ходатайству следствия судом в отношении обвиняемого избрана мера пресечения в виде заключения под стражу.
 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения, по существу."
