Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1296768/,khabkray,В Хабаровске бывший сотрудник Дальневосточного управления Ростехнадзора признан виновным в получении взятки,['коррупция'],15 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Хабаровскому краю доказательства признаны судом достаточными для вынесения приговора в отношении 54-летнего бывшего инспектора межрегионального отдела по надзору за подъемными сооружениями и объектами котлонадзора Дальневосточного управления Ростехнадзора, признанного виновным в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получения взятки).
Следствием и судом установлено, что осужденный фиктивно трудоустроил своего отца на должность сторожа в коммерческую организацию. С апреля 2014 года по март 2018 года мужчина ежемесячно получал заработную плату в сумме 5 тысяч рублей. Помимо этого, злоумышленник бесплатно ремонтировал свою личную машину и заправлял ее бензином на базе данной коммерческой организации. Таким образом он получил взятку в общей сумме 280 тысяч рублей. Взамен осужденный оказывал общее покровительство данной коммерческой организации.
Активную роль в раскрытии и расследовании преступления принимали сотрудники УФСБ и УМВД России по Хабаровскому краю.
Приговором суда мужчине назначено наказание в виде штрафа в размере 1 миллиона 800 тысяч рублей."
/news/item/1512510/,khabkray,"В Хабаровске перед судом предстанет бывший начальник управления дорог и внешнего благоустройства администрации города Хабаровска, обвиняемый в получении взятки и злоупотреблении должностными полномочиями","['взятка', 'злоупотребление полномочиями']",22 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области завершено расследование уголовного дела в отношении бывшего начальника управления дорог и внешнего благоустройства администрации города Хабаровска, обвиняемого в совершении преступлений, предусмотренных ч. 6 ст. 290 УК РФ (получение взятки в особо крупном размере), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями).
По версии следствия, в 2016 году начальник управления дорог и внешнего благоустройства администрации города Хабаровска обеспечил привлечение коммерческой организации к исполнению муниципального контракта по ремонту участка автомобильной дороги, расположенной в Центральном районе Хабаровска, получив за это с декабря 2016 года по февраль 2017 года от представителя данной организации взятку в общей сумме свыше 3 миллионов 900 тысяч рублей. 
Также обвиняемый, злоупотребляя своими должностными полномочиями, подписал справки, содержащие недостоверные сведения об объемах выполненных ремонтных работ, в результате чего коммерческой организации были перечислены денежные средства в завышенном размере. Действия злоумышленника причинили ущерб бюджету города Хабаровска в сумме свыше 7 миллионов рублей.
Уголовное дело возбуждалось по материалам, собранным сотрудниками подразделения экономической безопасности и противодействия коррупции УМВД России по Хабаровскому краю, они принимали активное участие в его расследовании. 
Следственными органами собрана достаточная доказательственная база, в связи с чем по уголовному делу утверждено обвинительное заключение, в ближайшее время оно будет направлено в суд для рассмотрения по существу."
/news/item/1581454/,khabkray,"В Хабаровском крае задержан директор краевого учреждения «Комсомольская-на-Амуре набережная реки Амур», подозреваемый в получении взятки в особо крупном размере","['взятка', 'коррупция']",04 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области в порядке ст. 91, 92 УПК РФ задержан директор краевого государственного бюджетного учреждения «Комсомольская-на-Амуре набережная реки Амур», подозреваемый в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение взятки, совершенное в особо крупном размере). 
По версии следствия, подозреваемый, являясь представителем заказчика по выполнению работ на объекте капитального строительства (реконструкция набережной реки Амур в городе Комсомольске-на-Амуре) выдвинул требование руководителю субподрядной организации передать ему взятку в сумме нескольких миллионов рублей за выполнение действий в интересах данной строительной организации. 
Руководство субподрядной организации сообщило о готовящемся преступлении в УФСБ России по Хабаровскому краю. Все дальнейшие переговоры велись под контролем оперативных служб. 
9 июня 2021 года в городе Комсомольске-на-Амуре подозреваемый получил первую часть взятки, после чего был задержан. 
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления. Следствием заявлено перед судом ходатайство об избрании в отношении мужчины меры пресечения в виде заключения под стражу. 
Расследование уголовного дела продолжается. 
Справка: за совершение данного преступления Уголовным кодексом Российской Федерации предусмотрено наказание, в том числе в виде лишения свободы на срок от 8 до 15 лет со штрафом в размере до семидесятикратной суммы взятки."
/news/item/1325646/,khabkray,"В Хабаровске перед судом предстанет сотрудник администрации, обвиняемый в получении взятки","['взятка', 'коррупция']",28 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю завершено расследование уголовного дела в отношении 50-летнего сотрудника управления дорог и внешнего благоустройства администрации города Хабаровска, обвиняемого в получении взятки (ч.5 ст. 290 УК РФ).
По версии следствия, в октябре 2018 года сотрудник управления дорог и внешнего благоустройства администрации города Хабаровска получил от одного из предпринимателей взятку в виде нового смартфона известного производителя (стоимость 110 тысяч рублей) и комплекта автомобильных шин (стоимость 51 тысяча рублей). Взамен сотрудник администрации пообещал коммерсанту общее покровительство, создание благоприятных условий в осуществлении предпринимательской деятельности, в том числе содействие в заключении договора субподряда на выполнение работ по устройству и ремонту инженерных объектов уличной дорожной сети Хабаровска.
В ходе следствия обвиняемый дал признательные показания. Дорогостоящий смартфон и комплект автомобильных шин изъят. По ходатайству следствия в отношении сотрудника администрации избиралась мера пресечения в виде домашнего ареста.
Уголовное дело было возбуждено по оперативным материалам сотрудников УМВД России по г. Хабаровску. Они принимали активное участие в его расследовании.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1505891/,khabkray,"В Хабаровском крае завершено расследование уголовных дел в отношении двух мужчин, обвиняемых в даче взяток лесничему","['взятка', 'коррупция']",26 Декабря 2022,"Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области завершено расследование уголовного дела в отношении 40-летнего мужчины, обвиняемого в совершении преступления, предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки), 43-летнего мужчины, обвиняемого по ч.1 ст. 291 УК РФ (дача взятки).  
По версии следствия, 40-летний мужчина, осуществлявший заготовку лесоматериалов в Солнечном районе, в 2017-2018 годы передал взятку в сумме 165 тысяч рублей лесничему Амгуньского лесничества за попустительство по службе, а именно непривлечение к ответственности за возможные нарушения законодательства Российской Федерации в сфере лесопользования. 
Также по версии следствия, 43-летний мужчина, осуществлявший лесозаготовительную деятельность и обработку лесоматериалов, в 2019 году передал взятку в сумме 25 тысяч рублей лесничему Амгуньского лесничества за общее покровительство, связанное с созданием благоприятных условий его коммерческой деятельности.  
В ходе следствия обвиняемые дали признательные показания.  
Уголовное дело возбуждалось по оперативным материалам, собранным сотрудниками УМВД России по Хабаровскому краю. Они принимали активное участие в расследовании. 
В настоящее время расследование уголовных дел завершено, они переданы прокурору для утверждения обвинительных заключений и дальнейшего направления в суд для рассмотрения по существу. 
Отдельно необходимо отметить, что расследование уголовного дела в отношении лесничего, обвиняемого в получении взяток, продолжается."
/news/item/1642570/,khabkray,"Перед судом в Хабаровском крае предстанет сотрудник полиции, обвиняемый в совершении коррупционного и должностного преступления","['взятка', 'коррупция', 'мошенничество']",30 Апреля 2022,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области завершено расследование уголовного дела, возбужденного по признакам преступлений, предусмотренных ч. 3 ст. 290 УК РФ, ч. 1 ст. 283 УК РФ и ч. 1 ст. 285 УК РФ.

В 2020 году в ОМВД России по Вяземскому району возбуждено уголовное дело о хищении с сельскохозяйственного поля урожая сои, принадлежащего коммерческому предприятию. По версии следствия, в ходе проведения оперативно-розыскных мероприятий сотрудник полиции за обещанную взятку сообщил руководителю службы безопасности предприятия сведения, в том числе о лицах, подозреваемых в совершении преступления. 

Полученные сведения мужчина использовал в своих интересах, предложив подозреваемым лицам за вознаграждение в сумме 1,5 млн рублей способствовать в прекращении уголовного дела. Кроме того, указанным лицам было сообщено о проводимых оперативно-розыскных мероприятиях. Понимая, что в отношении них совершается противоправная деятельность, они обратились в УФСБ России по Хабаровскому краю.

Передача вознаграждения двумя мужчинами, подозреваемыми в хищении урожая, руководителю службы безопасности предприятия, а также передача взятки полицейскому осуществлялись под контролем оперативных сотрудников УФСБ России по Хабаровскому краю. 

Следователем получены исчерпывающие доказательства, изобличающие сотрудника полиции в совершении инкриминируемых ему преступлений, несмотря на непризнание им вины: допрошены свидетели случившегося, назначены и получены результаты экспертиз, проведены осмотры и обыски, а также иные следственные и процессуальные действия. 

Уголовное дело с утвержденным обвинительным заключением готовится к направлению в суд для рассмотрения его по существу. 

В отношении руководителя службы безопасности предприятия уголовное дело рассматривается судом"
/news/item/1482251/,khabkray,"В Биробиджане перед судом предстанет местная жительница, обвиняемая в совершении коррупционного преступления","['взятка', 'коррупция', 'покушение']",27 Апреля 2022,"Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области завершено расследование уголовного дела в отношении 46-летней женщины, обвиняемой в совершении преступления, предусмотренного ч. 3 ст. 30, п. «б» ч. 4 ст. 291 УК РФ (покушение на дачу взятки).   
По версии следствия, обвиняемая решила подарить четырем своим родственникам водительские удостоверения на право управление транспортными средствами. В целях реализации преступного умысла она передала 175 тысяч рублей знакомому мужчине, который пообещал отдать их в качестве взятки сотруднику правоохранительных органов за выдачу документов без фактического прохождения соответствующего обучения и сдачи экзаменов. В действительности посредник оказался мошенником, он присвоил деньги женщины и распорядился ими по своему усмотрению.  
Уголовное дело возбуждалось по оперативным материалам, собранным сотрудниками УФСБ России по Еврейской автономной области. Они принимали активное участие в его расследовании. 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокурором г. Биробиджана обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1622892/,khabkray,"В Железнодорожном районе гор. Хабаровск осужден иностранный гражданин, обвиняемый в покушении на дачу взятки",['взятка'],22 Апреля 2022,"Собранных следственными органами следственного управления Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области доказательств оказалось достаточно для постановления судом обвинительного приговора в отношении 61-летнего иностранного гражданина, обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 30, п. «б» ч. 4 ст. 291 УК РФ (покушение на дачу взятки в крупном размере).
Напомним, в июне 2021 года сотрудники отдела экономической безопасности и противодействия коррупции УМВД России по г. Хабаровску проводили проверку по факту приобретения и сбыта товаров и продукции без маркировки и нанесения информации в торговом павильоне в Железнодорожном районе гор. Хабаровска.
Работник торговой точки предложил одному из сотрудников полиции взятку за прекращение производства проверки и не изъятия товара, положив денежные средства в виде 200 тыс. рублей в карман одежды правоохранителя. Сотрудник полиции от получения взятки отказался, о поступившем предложении доложил руководству. 
По уголовному делу проведен широкий круг следственных и процессуальных действий, позволивших предъявить мужчине обвинение и направить уголовное дело в суд.
Судом иностранный гражданин признан виновным, ему назначено наказание в виде 8 месяцев лишения свободы в исправительной колонии строгого режима.
В целях противодействия коррупции обращаем внимание граждан, что каждый факт совершения взяточничества следствием тщательно проверяется, принимаются меры к установлению всех без исключения обстоятельств и причин совершенного преступления."
/news/item/1137799/,khabkray,В Хабаровске по ходатайству следствия директору МУП «Водоканал» избрана мера пресечения в виде заключения под стражу,[],25 Декабря 2021,"По ходатайству следственных органов Следственного комитета Российской Федерации по Хабаровскому краю в отношении директора МУП г. Хабаровска «Водоканал», обвиняемого в совершении преступлений, предусмотренных ч.4 ст. 159 УК РФ (мошенничество), ч.2 ст. 201 УК РФ (злоупотребление должностными полномочиями в коммерческой организации, повлекшее тяжкие последствия), п. «а» ч.4 ст. 204 УК РФ (коммерческий подкуп), судом изменена мера пресечения с домашнего ареста на заключение под стражу.
В ходе расследования уголовного дела, возбужденного по ч.4 ст. 159 УК РФ (мошенничество, совершенное в особо крупном размере) по факту хищения бюджетных средств на сумму не менее 130 миллионов рублей, выделенных на строительство водозаборных сооружений Тунгусского месторождения, следствием выявлены новые эпизоды преступной деятельности фигурантов дела. По данным фактам возбуждены два дела, все дела соединены в одно производство.  
1)  Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю расследуется уголовное дело в отношении директора МУП г. Хабаровска «Водоканал», его заместителя по снабжению, главного инженера по признакам преступления, предусмотренного ч.2 ст. 201 УК РФ (злоупотребление должностными полномочиями в коммерческой организации, повлекшее тяжкие последствия).
В 2015-2016 годах обвиняемые для нужд МУП г. Хабаровска «Водоканал» приобрели за 148,5 миллионов рублей 4950 тонн химического реагента для очистки воды у аффилированной коммерческой организации.
По версии следствия, обвиняемые причинили ущерб бюджету г. Хабаровска на сумму свыше 14 миллионов рублей, так как купили реагент по изначально завышенной цене. В ходе следствия установлено, что учредителями аффилированной коммерческой организации были близкие родственники руководства МУП г. Хабаровска «Водоканал» (сыновья, дочери, супруга одного из них). Злоумышленники, пользуясь своими полномочиями, обеспечивали победу в конкурсах именно этой фирме, изначально создав для других участников конкурсов по поставкам реагента заранее невыполнимые условия.
По ходатайству следственных органов в отношении заместителя руководителя МУП г. Хабаровска по снабжению судом избрана мера пресечения в виде заключения под стражу.    
2) Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю расследуется уголовное дело в отношении директора МУП г. Хабаровска «Водоканал», его заместителя по строительству, а также главного инженера, по признакам преступления, предусмотренного п. «а» ч.4 ст. 204 УК РФ (коммерческий подкуп).
По версии следствия, в августе 2010 года администрация города Хабаровска заключила контракт с коммерческой организацией на поставку и монтаж электротехнического оборудования на объект «Водозаборные сооружения Тунгусского месторождения в г. Хабаровске» стоимостью свыше 318 миллионов рублей. В октябре 2010 года заключено дополнительное соглашение с данной организацией, согласно которого заказчиком оборудования выступает МУП г. Хабаровска «Водоканал». Осенью 2010 года обвиняемые предложили руководству коммерческой организации заплатить им «откат» в виде процентов от стоимости контракта, взамен пообещав полное содействие со своей стороны в рамках исполнения данного контракта. С ноября 2010 года по май 2011 года обвиняемые получили от руководства коммерческой организации денежные средства в сумме 28 миллионов рублей, которые злоумышленники поделили между собой и потратили на свои нужды.
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления, в том числе установление представителей других коммерческих организаций, которые передавали деньги обвиняемым за «покровительство» при исполнении контрактов.
Следствие обращается к коммерсантам, которые ранее давали деньги фигурантам уголовного дела, с предложением сообщить об этом правоохранительным органам (Хабаровск, Уссурийский бульвар, 5 (отдел по расследованию особо важных дел) или по телефону 8-962-586-18-48. Краевое следственное управление разъясняет, что согласно статьи 204 УК РФ, лицо, совершившее коммерческий подкуп, освобождается от уголовной ответственности, если добровольно сообщило об этом органу предварительного следствия. 
Активную роль в раскрытии и расследовании преступлений принимают сотрудники УФСБ и УМВД России по Хабаровскому краю.
Расследование продолжается."
/news/item/1440824/,khabkray,В Хабаровском крае глава городского поселения и предприниматель подозреваются в совершении коррупционных преступлений,"['взятка', 'коррупция']",25 Октября 2021,"Следственными органами Следственного комитета Российской Федерации по Хабаровскому краю и Еврейской автономной области в порядке ст. ст. 91, 92 УПК РФ задержаны 46-летний глава городского поселения «Рабочий поселок Ванино» Ванинского муниципального района Хабаровского края, подозреваемый в совершении преступления, предусмотренного п. «в» ч.5 ст. 290 УК РФ (получении взятки), 49-летний индивидуальный предприниматель, подозреваемый в совершении преступления, предусмотренного п. «б» ч.4 ст. 291 УК РФ ( дача взятки).   
По версии следствия, в 2019 году глава городского поселения получил денежные средства в общей сумме свыше 340 тысяч рублей от индивидуального предпринимателя, выполнявшего муниципальные контракты по благоустройству, содержанию, капитальному ремонту территорий и автомобильных дорог. Взамен глава поселения оказывал взяткодателю покровительство, выражавшееся в беспрепятственном принятии данных работ и оказанных услуг.  
Уголовное дело возбуждено по оперативным материалам, собранным сотрудниками УФСБ России по Хабаровскому краю. 
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенных преступлений. Решается вопрос об избрании в отношении подозреваемых меры пресечения в виде заключения под стражу.  
Расследование уголовного дела продолжается."
