Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1417314/,stavropol,"В Изобильном СКР направил в суд уголовное дело в отношении бывшего работника территориального подразделения по надзору в сфере защиты прав потребителей и благополучия человека, обвиняемой во взяточничестве","['деньги', 'коррупция']",03 Мая 2024,"один из пакетов, переданных обвиняемой            

Изобильненский межрайонный следственный отдел следственного управления Следственного комитета Российской Федерации по Ставропольскому краю завершил расследование уголовного дела в отношении бывшего ведущего специалиста-эксперта Территориального отдела Управления Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Ставропольскому краю в Изобильненском районе. Она обвиняется в совершении двух преступлений, предусмотренных ч. 1 ст. 290 УК РФ (получение взятки). 
По данным следствия, днем 13 декабря 2018 года обвиняемая выявила нарушения санитарных правил и технического регламента в двух супермаркетах села Донскоко Труновского района. После этого она предложила представителям этих магазинов передать ей денежные средства в размере 20 тысяч рублей и продукты питания на общую сумму свыше 20 тысяч рублей за непривлечение их к административной ответственности за выявленные нарушения и дальнейшее покровительство при проведении последующих проверок. Они на данные условия согласились, обратившись при этом в правоохранительные органы. При передаче денег и пакетов с продуктами обвиняемая была задержана сотрудниками полиции. 
Сейчас уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1199786/,stavropol,В Новоалександровском районе врач акушер-гинеколог подозревается в мошенничестве (ВИДЕО),"['деньги', 'мошенничество']",27 Апреля 2024,"Новоалександровским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ставропольскому краю возбуждено уголовное дело в отношении 65-летнего врача акушера-гинеколога Новоалександровской районной больницы, подозреваемой в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество).
По данным следствия, 14 ноября 2017 года подозреваемая сообщила своей пациентке, у которой отсутствовали показания к экстренной операции, о необходимости передать ей 15 тысяч рублей за проведение искусственного родоразрешения – кесарево сечение. На следующий день врач получила 13 тысяч рублей от отца роженицы, действовавшего в рамках оперативно-розыскного мероприятия, за проведение указанной операции его дочери.
В настоящее время по уголовному делу проведен ряд следственных и иных процессуальных действий, в том числе допрошены подозреваемая и свидетели, осмотрены вещественные доказательства. Расследование уголовного дела продолжается.
https://www.youtube.com/watch?v=0ZeD2BtjR5c
https://t.me/sledcom_rf"
/news/item/1760772/,stavropol,В Ставрополе три бывших сотрудника полиции признаны виновными в совершении коррупционных преступлений,"['взятка', 'коррупция', 'ПромышленныйСО']",26 Апреля 2024,"Собранные следственным отделом по Промышленному району города Ставрополь следственного управления Следственного комитета Российской Федерации по Ставропольскому краю признаны судом достаточными для вынесения приговора трем бывшим сотрудникам отдела по контролю за оборотом наркотиков Управления МВД России по г. Ставрополю. В зависимости от роли и степени участия каждого, они признаны виновными в совершении преступлений, предусмотренных п.п. «а, в» ч. 5 ст. 290 (получение взятки) и ч. 1 ст. 228 (незаконное приобретение и хранение наркотических средств) УК РФ.
Следствием и судом установлено, что в октябре 2020 года бывшие сотрудники полиции получили от жителя города Пензы взятку в размере более 900 тысяч рублей за нерегистрацию и непроведение проверки выявленного преступления по факту незаконного сбыта наркотических средств в особо крупном размере.
Уголовное дело было возбуждено по материалам УФСБ России по Ставропольскому краю.
В ходе проведения обыска в жилище одного из осужденных было обнаружено и изъято наркотическое средство массой более 1,8 г.
В отношении бывших сотрудников полиции в ходе следствия была избрана мера пресечения в виде заключения под стражу.
Приговором суда двум бывшим сотрудникам назначено наказание в виде 7 лет лишения свободы с отбыванием в исправительной колонии строгого режима, со штрафом в размере 2 миллиона рублей, третьему – 7 лет и 1 месяц лишения свободы с отбыванием в исправительной колонии строгого режима, со штрафом в размере 2 миллиона рублей."
/news/item/1285576/,stavropol,В Предгорном районе директор Пятигорского филиала «Ставкрайимущество» обвиняется в получении взятки,['взятка'],24 Апреля 2024,"Следственным отделом по Предгорному району следственного управления Следственного комитета Российской Федерации по Ставропольскому краю предъявлено обвинение директору Пятигорского филиала государственного унитарного предприятия Ставропольского края «Ставкрайимущество» Анжелике Асриевой в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки в крупном размере).
По данным следствия, в ноябре 2016 года обвиняемая, используя свое служебное положение, получила через посредника взятку в виде денег в сумме 450 тысяч рублей за оказание содействия в постановке на кадастровый учет одного из многоквартирных домовладений в станице Ессентукской Предгорного района за ускорение процесса и оформление необходимой для этой процедуры документации.
В настоящее время по ходатайству следователя судом обвиняемой избрана мера пресечения в виде домашнего ареста, по уголовному делу проводятся следственные и иные процессуальные действия, направленные на сбор необходимой доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1109647/,stavropol,В отношении декана Донского государственного технического университета возбуждены  уголовные дела о получении взяток,[],19 Апреля 2024,"Ставропольским межрайонным следственным отделом следственного управления следственного комитета Российской Федерации по Ставропольскому краю возбуждены  два уголовных дела в отношении декана факультета Механико-Технологический Ставропольского филиала ФГБОУ «Донской государственный технический университет» Технологического института сервиса (филиала) ФГБОУ ВО «Донской государственный технический университет», подозреваемого в совершении трех преступлений, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки).
По данным следствия в мае, октябре 2016 года и феврале текущего года декан без фактического присутствия двух студентов, проверки их знаний и сдачи экзаменов и зачетов, получил денежные средства на общую сумму более 54 тысяч рублей в качестве взятки путем зачисления студентами денег на его банковскую карту за выставление в зачетные и экзаменационные ведомости оценок.
Возбуждение данных уголовных дел стало возможным благодаря эффективному межведомственному взаимодействию следователей Следственного комитета с подразделением отдела экономической безопасности и противодействия коррупции УМВД России по городу Ставрополю.
Несмотря на то, что противоправная деятельность подозреваемого была задокументирована проведенными оперативно-розыскными мероприятиями, следствием продолжается работа по сбору иных доказательств совершенного преступления."
/news/item/1052447/,stavropol,В Нефтекумском районе мужчина подозревается в даче взятки начальнику отдела судебных приставов,[],17 Апреля 2024,"Нефтекумским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ставропольскому краю возбуждено уголовное дело в отношении 52-летнего жителя Нефтекумского района, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки).
По данным следствия, 31 мая текущего года подозреваемый, на которого по решению суда была возложена обязанность по удержанию денег из заработной платы одного из его работников на содержание детей, пытаясь избежать ответственности за непривлечение к административной ответственности по ч. 1 ст. 17.14 КоАП РФ (нарушение законодательства об исполнительном производстве), попытался передать начальнику судебных приставов Нефтекумского районного отдела судебных приставов УФССП России по Ставропольскому краю взятку в размере 10 тысяч рублей. Однако мужчина не смог довести свой преступный умысел до конца, поскольку судебный пристав от получения денежных средств отказался.
В настоящее время по уголовному делу запланировано проведение ряда следственных действий, направленных на закрепление имеющихся доказательств и установление всех обстоятельств произошедшего. В ближайшее время следствием будут проведены допросы подозреваемого и свидетелей, осмотр денежных купюр и последующее признание их вещественными доказательствами по уголовному делу, расследование которого продолжается."
/news/item/1204053/,stavropol,Бывший заместитель начальника Шпаковского районного отдела УФССП России по Ставропольскому краю признан виновным во взяточничестве,"['взятка', 'деньги', 'коррупция', 'приговор']",16 Апреля 2024,"Собранные Шпаковским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ставропольскому краю доказательства признаны судом достаточными для вынесения приговора  в отношении бывшего заместителя начальника Шпаковского районного отдела УФССП России по Ставропольскому краю Григория Оганесяна, признанного виновным в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки). 
Следствием и судом установлено, что в августе 2017 года Оганесян получил взятку в сумме 40 тысяч рублей за оказание помощи своей знакомой в прекращении исполнительного производства в отношении нее, а также снятии запрета на регистрационные действия с недвижимым имуществом и снятии ограничения на выезд за пределы Российской Федерации. 
Приговором суда Оганесяну назначено наказание в виде штрафа в размере 800 тысяч рублей, а также на три года он лишен права занимать должности на государственной службе, связанные с функцией представителя власти и с осуществлением организационно-распорядительных и административно-хозяйственных функций."
/news/item/1804399/,stavropol,В Грачевском округе бывший сотрудник полиции обвиняется в совершении коррупционных преступлений,"['взятка', 'коррупция', 'ШпаковскийМСО']",11 Апреля 2024,"Шпаковским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Ставропольскому краю завершено расследование уголовного дела в отношении бывшего государственного инспектора безопасности дорожного движения группы технического надзора отделения ГИБДД отдела МВД России «Грачевский». Он обвиняется в совершении трех преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки).
Следствием установлено, в октябре и декабре 2022 года, а также в марте 2023 года обвиняемый за денежное вознаграждение предложил предпринимателю, занимающемуся грузоперевозками, обеспечить беспрепятственный проезд по территории Грачевского муниципального округа шести грузовых автомобилей и не привлечение водителей к административной ответственности за наличие неисправностей (ч. 1 ст. 12.5 КРФоАП) и перегруз (ст. 12.21.1 КРФоАП).
Мужчина сообщил о случившемся в правоохранительные органы и в рамках оперативного эксперимента передавал злоумышленнику денежные средства. Общая сумма взятки составила 80 тысяч рублей.
В СКР уголовное дело было возбуждено по материалам краевого управления МВД.
В рамках расследования следователем СКР собрана достаточная доказательственная база. Уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1265270/,stavropol,В Георгиевске местная жительница подозревается в покушении на дачу взятки полицейскому,"['взятка', 'коррупция', 'покушение']",05 Апреля 2024,"Следственным отделом по городу Георгиевск следственного управления Следственного комитета Российской Федерации по Ставропольскому краю возбуждено уголовное дело в отношении 51-летней женщины, подозреваемой в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 2 ст. 291 УК РФ (покушение на дачу взятки).
По данным следствия, днем 15 сентября текущего года 51-летняя женщина для  сокращения установленных сроков рассмотрения обращения о выдачи иностранному гражданину, являющегося ее мужем, разрешения на временное проживание в Российской Федерации, передала 50 тысяч рублей начальнику отдела по вопросам миграции ОМВД России по Георгиевскому городскому округу, положив их в конверте на его стол. Однако полицейский от получения денег отказался.
В настоящее время следователем осмотрены и признаны вещественным доказательством изъятые денежные средства, проводятся иные следственные действия, направленные на закрепление полученных доказательств. Расследование уголовного дела продолжается."
/news/item/1764501/,stavropol,В Предгорном округе руководитель коммерческой организации обвиняется в даче взятки сотрудникам полици,"['взятка', 'ПредгорныйСО', 'суд']",03 Апреля 2024,"Следственный отдел по Предгорному району следственного управления Следственного комитета Российской Федерации по Ставропольскому краю завершил расследование уголовного дела в отношении 37-летнего жителя города Кисловодска. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки).
Следствием установлено, что утром 25 июня 2021 года инспекторы ДПС, находясь на маршруте патрулирования территории в районе международного аэропорта «Минеральные Воды» им. М.Ю. Лермонтова, выявили признаки опьянения у водителя грузового автомобиля «ЗИЛ». Чтобы избежать административной ответственности водителя и возможного наложения штрафных санкций на предприятие, работодатель передал сотрудникам полиции взятку в сумме 60 тысяч рублей.
Возбуждение данного уголовного дела стало возможным благодаря эффективному межведомственному взаимодействию следователей СК России и оперативных сотрудников краевых управлений ФСБ и МВД.
Следователем СК России собрана достаточная доказательственная база. Уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
Уголовное дело в отношении сотрудников полиции, получивших взятку, находится на рассмотрении в суде."
