Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1877228/,karelia,Начальник одного из лесничеств и его подчиненный работник подозреваются в превышении должностных полномочий,['превышение полномочий'],02 Мая 2024,"Следователями следственного отдела по городу Костомукше СУ СК России по Республике Карелия возбуждено уголовное дело в отношении начальника лесничества и участкового лесничего. Они подозреваются в совершении преступлений, предусмотренных п. «г» ч. 3 ст. 286 УК РФ (превышение должностных полномочий, повлекших существенное нарушение прав и законных интересов граждан, охраняемых законом интересов общества и государства, совершенных группой лиц).
По данным следствия, в период с апреля 2022 по февраль 2023 годов начальник одного из лесничеств, расположенных на территории Калевальского района, и его подчиненный работник – участковый лесничий, выдали физическому лицу заведомо незаконный  документ, разрешающий произвести вырубку лесных насаждений на земельном участке государственного природного заказника «Войница», имеющего статус особо охраняемой территории.   Совершение противоправных действий со стороны должностных лиц повлекли причинение ущерба Министерству природных ресурсов и экологии Республики Карелия на сумму более 10 млн рублей.
В настоящее время по уголовному делу проводятся необходимые следственные и иные процессуальные действия, направленные на установление всех обстоятельств противоправной деятельности.
В отношении подозреваемых избрана мера пресечения в виде подписки о невыезде и надлежащем поведении. По месту их жительства и в служебных кабинетах проведены обыски."
/news/item/1872979/,karelia,Оглашен приговор организатору преступления о совершении мошенничества с муниципальной собственностью,['мошенничество'],22 Апреля 2024,"Собранные следователями следственного управления СК России по Республике Карелия доказательства признаны судом достаточными для вынесения приговора 60 – летнему мужчине. Он признан виновным в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, то есть приобретение права на чужое имущество путем обмана и злоупотребления доверием, совершенное организованной группой, в особо крупном размере).
Следствием и судом установлено, что в период с 2011 по 2014 годы предприниматель и трое его сообщников, занимавшихся организацией общественного питания в городе Петрозаводске, обманным путем, злоупотребив доверием должностных лиц администрации города, оформили на подконтрольное физическое лицо право собственности на здание комбината школьного питания и земельный участок, которые являлись муниципальной собственностью. Противоправными действиями фигурантов местному бюджету причинен материальный ущерб более 11 млн рублей.
После совершения преступления, с 2015 года фигурант скрывается от следствия и находится в международном розыске.
Сегодня судом вынесен приговор, осужденному заочно назначено наказание в виде лишения свободы на срок 8 лет, с отбыванием в исправительном учреждении общего режима, а также денежный штраф в размере 950 тыс. рублей."
/news/item/1443642/,karelia,В Карелии представитель организации признан виновным в даче взятки,['приговор'],04 Апреля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Карелия доказательства признаны судом достаточными для вынесения приговора представителю общества с ограниченной ответственностью. Он признан виновным в совершении шести преступлений, предусмотренных п. «б» ч. 4 ст. 291 УК РФ (дача взятки), ч. 2 ст. 291 УК РФ (дача взятки).
Следствием и судом установлено, что подсудимый в период с 2015 года по 2017 год, являясь представителем организации, выполнявшей в рамках государственных контрактов работы по ремонту и строительству объектов дорожной инфраструктуры Республики Карелия, на систематической основе передавал взятки в виде денег должностным лицам КУ РК «Управтодор РК» за обеспечение беспрепятственной приемки выполненных данной организацией и субподрядными организациями работ по содержанию дорожной сети на территории Республики Карелия и подписание необходимых документов, не принятие мер по выявлению недостатков выполненных работ, не предъявление требований по устранению выявленных нарушений и не применение штрафных санкций к организации, представителем которой он являлся. Общая сумма переданных в виде взятки денежных средств составила более 2 миллионов рублей.
Приговором суда подсудимому назначено наказание в виде 10 лет лишения свободы с отбыванием в исправительной колонии строгого режима и штрафом 6 миллионов рублей.
Ранее должностные лица казенного учреждения Республики Карелия «Управление автомобильных дорог Республики Карелия», получившее взятки, осуждены и им назначены наказания в виде 2 лет лишения свободы с отбыванием в исправительной колонии строгого режима, со штрафом 3 500 000 рублей, 4 года лишения свободы с отбыванием в исправительной колонии строгого режима, 3 года лишения свободы условно, со штрафом 750 000 рублей."
/news/item/1698373/,karelia,В городе Кондопога завершено расследование уголовного дела о даче взятки должностному лицу,['взятка'],03 Апреля 2024,"Следователями следственного отдела по городу Кондопога СК России по Республике Карелия завершено расследование уголовного дела, возбужденного по признакам преступления,  предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу в крупном размере). 
Следствием установлено, что 31 марта 2022 года  53 – летний мужчина, являющийся обвиняемым по уголовному делу в совершении ряда преступлений в сфере экономической деятельности, находясь на территории отдела полиции, лично передал должностному лицу следственного отдела ОМВД России по Кондопожскому району взятку в виде денег в сумме 250 000 рублей. 
Взятка предназначалась для возврата ранее изъятой табачной продукции, являвшейся вещественным доказательством по уголовному делу. 
После передачи денежных средств обвиняемый был задержан на месте преступления. В период следствия находился под стражей, на допросе у следователя свою вину признал. 
Преступление раскрыто благодаря грамотно спланированным следственным действиям и оперативно-розыскным мероприятиям, проведенным совместно с сотрудниками УФСБ России по Республике Карелия и УЭБиПК МВД России по Республике Карелия. 
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем, уголовное дело направлено в суд для рассмотрения по существу. Максимальное наказание за данное преступление предусмотрено до 12 лет лишения свободы."
/news/item/1669640/,karelia,В Кондопоге возбуждено уголовное дело о даче взятки сотруднику полиции,['взятка'],06 Октября 2023,"Следователями следственного отдела по городу Кондопога СК России по Республике Карелия возбуждено уголовное дело по признакам преступления, предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу в крупном размере).
По данным следствия, 31 марта 2022 года  53 – летний мужчина, являющийся обвиняемым по уголовному делу в совершении ряда преступлений в сфере экономической деятельности, находясь на территории отдела полиции, лично передал следователю отдела МВД по Республике Карелия взятку в виде денег в сумме 250 000 рублей.
Взятка предназначалась для возврата ранее изъятой табачной продукции, являвшейся вещественным доказательством по уголовному делу.
После передачи денежных средств мужчина был задержан на месте преступления сотрудниками УФСБ России по Республике Карелия и УЭБиПК МВД России по Республике Карелия.
В настоящее время следователями СК России проводятся следственные действия, направленные на установление всех обстоятельств случившегося. Расследование уголовного дела продолжается."
/news/item/1753358/,karelia,В городе Лахденпохья женщина подозревается в даче взятки сотруднику полиции,['взятка'],08 Сентября 2023,"Следователями Сортавальского межрайонного следственного отдела СК России по Республике Карелия возбуждено уголовное дело в отношении 50 -летней местной жительницы, подозреваемой в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконных действий).
По версии следствия, в декабре 2022 года подозреваемая, находясь в служебном кабинете отдела полиции дала взятку в размере 50 000 рублей сотруднику полиции за не привлечение ее к административной ответственности за управление транспортным средством в состоянии алкогольного опьянения.   Сотрудник  полиции уведомил руководство о склонении его к совершению коррупционного преступления. Подозреваемая задержана  «с поличным» в момент передачи денежных средств.
В ходе допроса она дала  признательные показания. В настоящее время по уголовному делу выполняются необходимые следственные действия, направленные на установление всех обстоятельств происшествия.  Производится сбор и закрепление доказательственной базы."
/news/item/1414559/,karelia,В Медвежьегорском районе возбуждено уголовное дело по факту гибели ребенка при пожаре,['причинение смерти по неосторожности'],29 Июня 2023,"Медвежьегорским межрайонным следственным отделом Следственного комитета Российской Федерации по Республике Карелия по факту гибели 6-летней девочки при пожаре возбуждено уголовное дело по признакам преступления, предусмотренного ч. 1 ст. 109 УК РФ (причинение смерти по неосторожности).
По версии следствия, в ночь на 28 ноября 2019 года в частном деревянном доме в поселке Повенец Медвежьегорского района произошел пожар. При тушении пожара в квартире обнаружено тело 6-летней девочки. Мать ребенка также пострадала при пожаре и находится в лечебном учреждении. Причины возгорания и смерти потерпевшей устанавливаются.
В настоящее время выполняются необходимые следственные действия, направленные на установление всех обстоятельств произошедшего. Расследование уголовного дела продолжается."
/news/item/1872726/,karelia,В городе Суоярви водитель автомобиля обвиняется в даче взятки сотруднику полиции,['взятка'],25 Июня 2023,"Следователями следственного отдела по городу Петрозаводску  СУ СК России по Республике Карелия завершено расследование уголовного дела в отношении 50 - летнего мужчины. Он обвиняется в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу в значительном размере за совершение заведомо незаконных действий).
По данным следствия, в дневное время в феврале 2024 года на улице Шельшакова в городе Суоярви сотрудники ГИБДД остановили автомобиль под управлением водителя, находившегося в состоянии алкогольного опьянения, что является административным правонарушением по ч. 1 ст. 12.8 КоАП РФ.
После составления административного материала, желая избежать привлечения к установленной законом ответственности,  мужчина, находясь в служебном кабинете отдела полиции, предложил полицейскому денежное вознаграждение за совершение незаконных действий в виде ненаправления административного материала в суд.
Полицейский предупредил фигуранта об уголовной ответственности за дачу взятки должностному лицу. Несмотря на это, мужчина предложил сотруднику полиции встретиться в торговом зале магазина, где при встрече передал 50 тысяч рублей.
После передачи взятки злоумышленник был задержан. В настоящее время следователями проведён комплекс необходимых следственных и иных процессуальных действий. Осмотрены видеозаписи с камер видеонаблюдения, на которых зафиксированы противоправные действия фигуранта, допрошены свидетели, собрана достаточная доказательственная база. Уголовное дело направлено в суд для рассмотрения по существу."
/news/item/1553229/,karelia,"В Карелии перед судом предстанут бывшие руководители лесничества, по обвинению в коррупционных преступлениях",['взятка'],31 Мая 2023,"Следственными органами Следственного комитета Российской Федерации по Республике Карелия закончено расследование уголовных дел  в отношении двух бывших руководителей Государственного казенного учреждения Республики Карелия «Калевальское центральное лесничество». В зависимости от роли каждого  они обвиняются в совершении преступлений, предусмотренных п. «а» ч. 5 ст. 290 УК РФ (получение взятки, группой лиц по предварительному сговору), п.п. «а, в» ч. 5 ст. 290 УК РФ (получение взятки, группой лиц по предварительному сговору, в крупном размере), ч. 1 ст. 285 УК РФ (злоупотребление должностными полномочиями). 
По версии следствия, в период с 2015 года по 2020 год обвиняемые, действуя в составе группы лиц совместно с другими сотрудниками ГКУ РК «Калевальское центральное лесничество» (уголовное дело в отношении которых выделено в отдельное производство), неоднократно получали взятки в виде денежных средств от лиц, незаконно осуществляющих заготовку древесины, за сокрытие данных фактов и не привлечение виновных лиц к ответственности. Общая сумма незаконно полученных денежных средств составила более 600 тысяч рублей. 
Преступления раскрыты в результате совместных следственных действий и оперативно-розыскных мероприятий, проведенных следователями СК, сотрудники Управления ФСБ по Республике Карелия и Управления экономической безопасности и противодействия коррупции МВД по Республике Карелия. 
Следствием собрана достаточная доказательственная база, в связи с чем по делам утверждены обвинительные заключения. В настоящее время уголовные дела направлены в суд для рассмотрения по существу."
/news/item/1629005/,karelia,"В Карелии вступил в законную силу обвинительный приговор суда в отношении сотрудника государственного учреждения, бравшего взятки",['взятка'],03 Мая 2023,"В Карелии вступил в силу приговор Лоухского районного суда в отношении сотрудника ФГКУ «Росгранстрой»  в  совершении преступления, предусмотренного  ч. 3 ст. 290 УК РФ (получение взятки в значительном размере).
Следствием и судом установлено, что в период с 2018 года по 2019 год подсудимый, являясь должностным лицом ФГКУ «Росгранстрой», получил от индивидуального предпринимателя взятку в виде денег в сумме более 460 тысяч рублей. Незаконное денежное вознаграждение причиталось за подписание несоответствующих действительности документов, о якобы надлежащей уборке помещений и выполнении работ по благоустройству автомобильного и пешеходного пунктов пропуска через Государственную границу Российской Федерации, расположенных  в Лоухском районе Республики Карелия, а также за сокрытие выявленных недостатков в выполненных работах и не предъявление требований по их устранению. Приговором Лоухского районного суда подсудимый признан виновным в совершении указанного преступления и ему назначено наказание в виде штрафа в размере 450 тысяч рублей с лишением права занимать определенные должности на срок до 2 лет."
