Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1138425/,surb,В Республике Башкортостан бывший инспектор исправительной колонии предстанет перед судом по обвинению в получении взятки,[],02 Мая 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Башкортостан завершено расследование уголовного дела по результатам проверки материалов, представленных ГУФСИН России по Республике Башкортостан и Управлением ФСБ России по Республике Башкортостан в отношении 26-летнего бывшего инспектора одного из отделов исправительной колонии № 13 Республики Башкортостан по обвинению в совершении 10 преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки должностным лицом).
По версии следствия, в ноябре 2014 года инспектор встретился со знакомой одного из осужденных на улице Мушникова в городе Уфе  и получил от нее незаконное денежное вознаграждение в размере 7 тысяч рублей и семь мобильных телефонов. При попытке пронести их на территорию исправительного учреждения он был задержан. Следователи выявили еще 9 эпизодов аналогичной преступной деятельности инспектора за взятки на общую сумму 27 тысяч рублей в период с сентября по ноябрь 2014 года. Следователем в адрес  руководства колонии направлено представление об устранении обстоятельств, способствовавших совершению преступления, 6 должностных лиц наказаны в дисциплинарном порядке.
В настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1138421/,surb,"В Республике Башкортостан перед судом предстанет  местная жительница, обвиняемая в покушении на дачу взятки",[],05 Апреля 2024,"Следственными органами Следственного комитета Российской Федерации по Республике Башкортостан завершено расследование уголовного дела в отношении 51-летней жительницы Буздякского района, ранее судимой за неуплату алиментов, по обвинению в совершении преступления, предусмотренного ч. 3 ст. 30  и ч. 3 ст. 291 УК РФ (покушение на дачу взятки должностному лицу). 
По данным следствия, в январе 2015 года участковый уполномоченный, находясь на дежурстве, заметил на улице пьяную женщину и с целью пресечения правонарушения и привлечения виновной к административной ответственности, направился с ней в районную больницу для медицинского освидетельствования. По дороге женщина просила не составлять протокол. На стоянке возле больницы, находясь в автомобиле полиции, женщина пыталась дать взятку в размере 1 тысяча рублей участковому, чтобы он ее отпустил. Медиками у женщины было установлено состояние алкогольного опьянения. 
В настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1138350/,surb,В Республике Башкортостан перед судом предстанут двое бывших сотрудников ГИБДД из города Ишимбая по обвинению в коррупции,[],28 Марта 2024,"Следственным отделом по городу Ишимбай следственного управления Следственного комитета Российской Федерации по Республике Башкортостан завершено расследование уголовного дела в отношении 27- и 28-летнего бывших инспекторов дорожно-патрульной службы группы дорожно-патрульной службы отделения ГИБДД Отдела МВД России по Ишимбайскому району, обвиняемых в совершении преступлений, предусмотренных п.п. «а», «б» ч. 5 ст. 290 УК РФ (получение взятки, сопряженное с вымогательством).
По версии следствия, вечером 05 февраля 2014 года 27-летний инспектор ДПС находясь на одной из улиц города при исполнении служебных обязанностей, при помощи жезла остановил автомобиль ВАЗ-21074. Высказав водителю предположение о нахождении его в состоянии алкогольного опьянения, потребовал с него 30 тысяч рублей за свое бездействие. О согласии водителя передать деньги он сообщил своему знакомому 28-летнему коллеге и тот взял на себя функцию посредника. С февраля по апрель 2014 года 28-летний инспектор ДПС, получив личные данные водителя, неоднократно по телефону вымогал у него взятку. Водитель обратился в территориальный орган Следственного комитета России и уже в рамках оперативно-следственного мероприятия передал деньги 28-летнему сотруднику полиции. После передачи денег оба инспектора были задержаны сотрудниками оперативно-розыскной части собственной безопасности МВД по Республике Башкортостан.
Следствием собрана достаточная доказательственная база, в связи с чем в настоящее время уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1573729/,surb,"В Уфе трое местных жителей признаны виновными в посредничестве в коммерческом подкупе, совершенном в особо крупном размере",['приговор'],26 Февраля 2024,"Доказательства, собранные следственным отделом по Советскому району г. Уфы следственного управления Следственного комитета Российской Федерации по Республике Башкортостан, признаны судом достаточными, для вынесения приговора троим жителям г. Уфы, признанных виновными в совершении преступления, предусмотренного ч. 3 ст. 204.1 УК РФ (посредничество в коммерческом подкупе в особо крупном размере).
Как установлено следствием, 32-летний подсудимый обратился к ранее знакомому заместителю директора строительной организации, сообщив, что через знакомых может поспособствовать победе его организации в конкурсе на заключение контракта с нефтедобывающей компанией на осуществление строительных работ. При этом, за оказанные услуги ему необходимо будет заплатить 15% от цены контракта для дальнейшей передачи сотрудникам нефтедобывающей компании, на что заместитель директора строительной организации согласился.
После заключения контракта, заместитель директора передал подсудимому 1,2 млн рублей, как часть оговоренной суммы незаконного вознаграждения в размере 4,5 млн рублей, которые, в свою очередь, подсудимый передал второму 30-летнему посреднику.
Преступный факт был выявлен в ходе оперативно-розыскных мероприятий УФСБ России по Республике Башкортостан.
Все подсудимые признали свою вину в совершенном преступлении.
Суд троим подсудимым назначил наказание в виде штрафа в размере  1 миллиона рублей каждому.
Приговор в законную силу не вступил."
/news/item/1302787/,surb,В Уфе бывшему директору туристической компании и его заместителю вынесен приговор по обвинению в невыплате заработной платы и покушении на дачу взятки,"['взятка', 'заработная плата', 'покушение']",20 Февраля 2024,"Собранные следственным отделом по Советскому району г. Уфы следственного управления Следственного комитета России по Республике Башкортостан доказательства признаны судом достаточными для вынесения приговора 32-летнему бывшему генеральному ООО «Ространстур» и его 40-летнему заместителю. В зависимости от степени участия каждого они обвиняется в совершении преступлений, предусмотренных ч. 3 ст. 30, ч. 3 ст. 291 УК РФ (покушение на дачу взятки), ч. 2 ст. 145.1 УК РФ (полная свыше 2 месяцев невыплата заработной платы).
Как установлено следствием и судом, в апреле 2017 года между АО «Башкирское речное пароходство» и ООО «Ространстур» был заключен договор фрахтования судна сроком до конца года. Предприниматели арендовали теплоход «Башкортостан» для продажи речных круизов. Уже в сентябре того же года пароходство расторгло договор аренды в связи с несвоевременной оплатой со стороны арендатора. Тем не менее, турфирма продолжила продавать путевки и на 2018 год. В связи с чем, вскоре в отношении фирмы была организована проверкой сотрудниками УМВД России по г. Уфе, предметов которой в том числе являлось наличие договорных отношений между турфирмой и пароходством.
Опасаясь привлечения к уголовной ответственности, директор и заместитель директора ООО «Ространстур» предложили заместителю директора Башкирского речного пароходства взятку в сумме 100 тыс. рублей, чтобы последний  не предоставлял правоохранителям соглашение о расторжении с их фирмой договора фрахтования.
О незаконном предложении предпринимателей мужчина сообщил сотрудникам полиции. При попытке передать денежные средства злоумышленники были задержаны с поличным.
Кроме того, директор турфирмы в период с июня по сентябрь 2017 года, достоверно зная о наличии задолженности по заработной плате перед 17 работниками и имея реальную возможность ее погасить, в виду наличия у предприятия на тот период времени денежных средств в размере более 5 млн рублей, не принял мер к ее погашению. В результате сумма общей задолженности составила  более 600 тыс. рублей. Имеющиеся средства руководитель направлял на производственные и непроизводственные нужды предприятия.
В ходе следствия и суда обвиняемые не признали вину в совершенных преступлениях.
Суд назначил каждому фигуранту по 3 года лишения свободы с отбыванием наказания в колонии строгого режима. После оглашения приговора осужденные были взяты под стражу."
/news/item/1256425/,surb,В Республике Башкортостан сотрудник полиции подозревается в предложении посредничества во взяточничестве,"['взятка', 'коррупция', 'посредничество', 'сотрудник']",09 Февраля 2024,"Исполняющим обязанности руководителя следственного управления Следственного комитета Российской Федерации по Республике Башкортостан по материалам, предоставленным МВД по Республике Башкортостан, возбуждено уголовное дело по подозрению 29-летнего сотрудника полиции в совершении преступления, предусмотренного ч. 5 ст. 291.1 УК РФ (предложение посредничества во взяточничестве).
По версии следствия, днем 17 сентября 2018 года старший следователь следственного отдела ОМВД России по Бирскому району, находясь в автомобиле на территории города Бирск, по ранее достигнутой договоренности получил 100 тысяч рублей от директора организации, в отношении которого сотрудниками полиции ранее возбуждено дело об административном правонарушении по факту реализации алкогольной продукции без лицензии. Получаемые денежные средства сотрудник полиции обещал передать неустановленным должностным лицам ОМВД России по Бирскому району в качестве взятки за совершение заведомо незаконных действий – обеспечение прекращения проверок в отношении юридического лица, а также административного производства. После получения денежных средств от женщины-директора организации следователь задержан с поличным сотрудниками собственной безопасности МВД по Республике Башкортостан в рамках проведения оперативно-розыскных мероприятий.
В настоящее время проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления. Подозреваемый задержан в порядке ст. 91 УПК РФ, в ближайшее время мужчине будет предъявлено обвинение, а также решен вопрос об избрании в отношении него меры пресечения. Расследование уголовного дела продолжается."
/news/item/1156893/,surb,Житель города Стерлитамака признан виновным в даче взятки судебному приставу,[],12 Января 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Республике Башкортостан доказательства признаны судом достаточными для вынесения приговора 37-летнему жителю города Стерлитамака. Он признан виновным в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу). 
Следствием и судом установлено, что июне 2017 года судебный пристав уведомил 37-летнего жителя города Стерлитамака о временном ограничении выезда за границу из-за долга по решению суда банку в размере свыше 450 тысяч рублей. Должник уже приобрел туристическую путевку, и чтобы снять ограничительные меры по выезду за границу, передал судебному приставу деньги в размере 20 тысяч рублей. 
Приговором суда ему назначено 3 года лишения свободы с испытательным сроком на 1 год."
/news/item/1138570/,surb,В Республике Башкортостан бывший глава администрации города Агидели признан виновным в получении крупной взятки,[],08 Декабря 2023,"Собранные Нефтекамским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Республике Башкортостан доказательства признаны судом достаточными для вынесения приговора бывшему главе Администрации городского округа города Агидели 48-летнему Олегу Крысину. Он признан виновным в совершении преступления, предусмотренного п. «в» ч. 5 ст. 290 УК РФ (получение взятки).   
Следствием и судом установлено, что утром 11 августа 2016 года глава Администрации городского округа город  Агидель,  находясь в служебном кабинете, из корыстных побуждений, согласно ранее достигнутой договоренности с заместителем директора коммерческого предприятия, получил от заместителя директора, выполняющего в рамках оперативного мероприятия роль «взяткодателя», незаконное денежное вознаграждение в сумме 450 тысяч рублей за совершение заведомо незаконных действий по предоставлению предприятию права на отвал грунта (песка) объемом 10 тысяч кубических метров в городе Агидели, без проведения аукциона и торгов. Оперативное мероприятие было организовано при активном взаимодействии с сотрудниками местного отдела республиканского Управления ФСБ России и оперативными сотрудниками УЭБ и ПК МВД по Республике Башкортостан. После получения денег глава администрации был задержан. При допросе в качестве обвиняемого вину не признал. В ходе расследования глава городского округа по ходатайству следователя судом был временно отстранен от занимаемой должности и ему избрана мера пресечения в виде домашнего ареста. Следователи в обеспечение приговора наложили арест на имущество чиновника в виде денежных средств на счетах, трехкомнатной квартиры в городе Нефтекамске и акций.  
Приговором суда ему назначено наказание в виде 7 лет и 2 месяцев лишения свободы в исправительной колонии строгого режима со штрафом в размере 6 миллионов рублей, а также запретом на 2 года занимать должности, связанные с государственной и муниципальной службой."
/news/item/1138521/,surb,В Республике Башкортостан бывший сотрудник ГИБДД предстанет перед судом по обвинению в получении взяток,[],25 Октября 2023,"Следственными органами Следственного комитета Российской Федерации по Республике Башкортостан завершено расследование уголовного дела в отношении 31-летнего бывшего сотрудника ГИБДД МВД по РБ по обвинению в совершении преступлений, предусмотренных ч. 3 ст. 290 УК РФ (получение взятки) и ч. 1 ст. 291.2 УК РФ (мелкое взяточничество).
По данным следствия, в августе 2015 года инспектор ДПС  получил от разных водителей 20 000 рублей и 5000 рублей за не привлечение к административной ответственности за управление транспортным средством водителем, лишенным права управления транспортным средством, и  за выезд на полосу, предназначенную для встречного движения соответственно.
После совершения незаконных действий злоумышленник был задержан сотрудниками Оперативно-разыскной части собственной безопасности МВД по Республике Башкортостан.
Следственными органами собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1138489/,surb,В Республике Башкортостан полицейский и его знакомый подозреваются в грабеже,[],12 Октября 2023,"В следственные органы Следственного комитета Российской Федерации по Республике Башкортостан 28 февраля 2016 года поступили материалы уголовного дела по факту ограбления жительницы Учалинского района на улице неустановленными лицами в связи с подозрением на совершение преступления лицом с особым правовым статусом.
В результате грамотно спланированных и проведенных следственных действий и оперативно-розыскных мероприятий удалось установить лиц, причастных к совершению преступления, предусмотренного п. «г» ч. 2 ст. 161 УК РФ (грабеж). Ими оказались 28-летний полицейский-водитель местного отдела полиции и его 27-летний знакомый.
По версии следствия, вечером 24 февраля 2016 года на одной из улиц села Аккужино Учалинского района подозреваемые, применив насилие не опасное для жизни и здоровья, похитили у 49-летней местной жительницы женскую сумку, причинив ущерб на сумму более 1,5 тысяч рублей. Подозреваемые пояснили, что надеялись на большую сумму, предполагая, что женщина несет в сумке деньги предприятия.
В настоящее время проводятся следственные действия и оперативно-розыскные мероприятия, направленные на установление всех обстоятельств совершенного преступления. Подозреваемые задержаны, решается вопрос о применении меры пресечения. Расследование уголовного дела продолжается. В прошлом году было расследовано 2 аналогичных дела в отношении сотрудников полиции, которые уже предстали перед судом."
