Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1560737/,tyumen,В Тюмени арестован начальник одного из подразделений  УИИ УФСИН России по Тюменской области,['взятка'],12 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Тюменской области  возбуждено уголовное дело в отношении  начальника Тюменского межмуниципального филиала ФКУ «Уголовно-исполнительная инспекция» УФСИН по Тюменской области. Он обвиняется в пяти эпизодах преступления, предусмотренного ч. 3 ст.290 УК РФ (получение должностным лицом взятки в значительном размере).
По версии следствия,  в период с  марта по сентябрь 2018 года  обвиняемый, являясь должностным лицом, действуя умышленно из корыстных побуждений, получал незаконное вознаграждение за заведомо незаконное бездействие, выраженное в попустительстве при осуществлении контроля соблюдения лицом, содержащимся под домашним арестом, установленных судом ограничений и запретов.
Благодаря  совместному налаженному взаимодействию подразделений  УЭБ и ПК и Следственного комитета России по подозрению в совершении указанных преступлений фигурант был задержан.  
Следственно-оперативной группой проведены обыски по месту работы и жительства обвиняемого. Изъята вся необходимая документация, подтверждающая его причастность к совершению преступлений.      
В настоящее время следствием проводится комплекс следственных действий и  мероприятий, направленных на выяснение всех обстоятельств произошедшего.
По ходатайству следователя судом избрана мера пресечения в отношении обвиняемого в виде заключения под стражу.  Расследование уголовного дела продолжается."
/news/item/1558067/,tyumen,В Тюменской области судом по ходатайству следствия в отношении   начальника УГИБДД УМВД России по Тюменской области  и его посредника избрана мера пресечения в виде заключения под стражу,['коррупция'],02 Августа 2023,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Тюменской области продолжается расследование уголовного дела возбужденного в отношении  начальника   УГИБДД УМВД России по Тюменской области  и его посредника.
Благодаря грамотно спланированной совместной деятельности подразделения   РУФСБ России по Тюменской  области, ОСБ УМВД России по Тюменской области и сотрудников   Следственного комитета России начальник УГИБДД УМВД России по Тюменской области  и его посредник задержаны.   
В зависимости от роли и степени участия каждого к настоящему времени обоим предъявлены обвинения  в совершении 6 эпизодов преступления, предусмотренного ч. 3 ст.290 УК РФ (получение должностным лицом через посредника  взятки в значительном размере),  а также  6 преступлений, предусмотренных ч.2 ст.291.1 УК РФ (Посредничество во взяточничестве). 
Сегодня, 16 апреля 2021 года, Ленинским районным судом  города  Тюмени рассмотрено и удовлетворено мотивированное ходатайство следователя об избрании в отношении обвиняемых  меры пресечения в виде заключения под стражу. Расследование уголовного дела продолжается.
 Подразделение: Второй отдел по расследованию особо важных дел."
/news/item/1206655/,tyumen,Вынесен приговор в отношении представителя коммерческой организации признанной виновной в посредничестве во взяточничестве,"['взятка', 'коррупция', 'посредничество']",11 Июля 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Тюменской области доказательства, признаны судом достаточными для вынесения приговора в отношении 63-летней жительницы областного центра, обвиняемой в совершении преступления, предусмотренного ч.4 ст.291.1 УК РФ (посредничество во взяточничестве, совершенное в особо крупном размере).
Следствием и судом установлено, в период с апреля 2016 по июль 2016 года осужденная, являясь представителем по доверенности одной из коммерческих организаций города Тюмени, подготовила и представила в один из банков города заведомо ложные сведения о хозяйственном положении и финансовом состоянии Общества с целью получения кредит в сумме 350 миллионов рублей,. Понимая, что на основании представленных осужденной документов ей будет отказано в получении кредита, злоумышленница решила дать взятку начальнику отдела по работе с клиентами Тюменского регионального филиала банка в сумме 2 миллионов 100 тысяч рублей за подготовку документов подтверждающих одобрение кредита, однако последний от получения взятки отказался. Продолжая реализацию преступного умысла, женщина решила дать взятку заместителю директора того же кредитного учреждения в сумме 21 миллиона рублей, за способствование в одобрении кредита, на что также получила отказ. Данные обстоятельства стали известны сотрудникам РУФСБ России по Тюменской области, которыми был проведен ряд оперативных мероприятий, в результате чего преступная деятельность обвиняемой была пресечена, а следственными органами регионального СКР возбуждено уголовное дело.
Следствием проведен большой комплекс следственных и процессуальных действий, собранные доказательства полностью подтвердили причастность осужденной к совершению преступления, кроме того по решению суда на имущество женщины был наложен арест.
Приговором суда виновной назначено наказание в виде штрафа в размере 2 миллионов 500 тысяч рублей.
 
Подразделение: следственный отдел по Калининскому АО г. Тюмень"
/news/item/1728220/,tyumen,"Перед судом предстанут трое мужчин, обвиняемых в коррупционных преступлениях",['коррупция'],11 Апреля 2023,"Следственным отделом по Центральному округу АО г. Тюмень следственного управления Следственного комитета Российской Федерации по Тюменской области завершено расследование уголовного дела в отношении трех жителей Тюмени 1987,  1977  1985 г.р., обвиняемых в зависимости от роли каждого в совершении преступлений, предусмотренных п. «б» ч. 4 ст.291 УК РФ (дача взятки в крупном размере), а также ч.3 ст.291 УК РФ (дача взятки), ч. 2 ст.291.1  УК РФ (посредничество во взятке). 
По версии следствия, обвиняемый 1987 г. р.  произвел несанкционированную врезку в газопровод и незаконно потреблял природный газ, отапливая им свой частный дом.  С ноября 2019 года по март 2022 года он передавал через посредника 1985 г.р., взятку сотруднику газовой компании, общая сумма которой составила свыше 200 тысяч рублей, за незаконное бездействие в его интересах, выражающееся в невыявлении и непресечении, а также недокументировании фактов незаконного подключения и потребления природного газа. 
Второй обвиняемый 1977 года в январе 2022 года передал взятку в размере 17 тысяч рублей за аналогичное бездействие. 
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу.
Подразделение: следственный отдел по Центральному АО г. Тюмень"
/news/item/1186834/,tyumen,В Тюменской области перед судом предстанет бывший заместитель начальника полиции УМВД России по городу Тюмени,[],24 Марта 2023,"Следственными органами Следственного комитета Российской Федерации по тюменской области завершено расследование уголовного дела в отношении бывшего заместителя начальника полиции (по охране общественного порядка) УМВД России по городу Тюмени. Он обвиняется в совершении преступлений, предусмотренных ч.ч. 3, 5 ст. 290 (получение взятки) и ч. 3 ст. 30, ч. 1 ст. 290 УК РФ (покушение на получение взятки).
По версии следствия, обвиняемый, с марта 2011 года по апрель 2015 года занимая различные руководящие должности УМВД России по городу  Тюмени пользовался служебной информацией, к которой имел доступ. Он предлагал предпринимателям    за деньги прикрыть глаза на обнаруженные у них нарушения, в том числе и по продаже алкоголя, контрафактных товаров, привлечения к труду нелегальных мигрантов.  
В результате своей преступной деятельности сумма взяток превысила 600 тысяч рублей, часть из которых он получил в составе созданной им в сентябре 2014 года организованной группы, в которую вошли трое его подчиненных.
В апреле 2015 года обвиняемый был задержан сотрудниками Регионального управления ФСБ России по Тюменской области.
В апреле 2015 года обвиняемый был уволен из органов внутренних дел в связи с совершением проступка, порочащего честь сотрудника органов внутренних дел. По ходатайству следователя  в отношении обвиняемого была избрана мера пресечения в виде заключения под стражу.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением в ближайшее время будет  в  суд для рассмотрения по существу.
В ходе следствия с двумя  сообщниками обвиняемого  были заключены досудебные соглашения о сотрудничестве. В ноябре 2015 года  их осудили   за взятки к штрафу в 3 миллиона  рублей каждого.  Третьему сообщнику суд назначил  наказание в виде  3 лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима и штрафу в размере 2,3 миллионов рублей.
 
Подразделение: следственный отдел по городу Тюмени"
/news/item/1196640/,tyumen,В Тюмени сотрудник исправительного учреждения подозревается в мелком взяточничестве,"['взятка', 'коррупция']",28 Января 2023,"Следственными органами Следственного комитета Российской Федерации по Тюменской области  возбуждено уголовное дело в отношении 36-летнего сотрудника ФКУ ИК-1 УФСИН России по Тюменской области. Он подозревается в совершении преступления, предусмотренного ч.1 ст. 291.2 УК РФ (получение взятки в размере, не превышающем десяти тысяч рублей).
По версии следствия, в декабре 2017 года сотрудник исправительного учреждения, используя свои служебные полномочия из корыстной заинтересованности, пронес для осужденного через контрольно-пропускной пункт ограниченные к обороту в учреждении предметы, а именно сотовый телефон. За оказанную услугу подозреваемый получил взятку в размере 2 000 рублей.
Следствием выполняется необходимый комплекс следственных действий, направленный на установление всех обстоятельств произошедшего, сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается.
 
Следственное управление напоминает!
В целях предупреждения и искоренения коррупции каждый гражданин, который был вынужден заплатить взятку или иным образом стал жертвой коррупции может  обратиться в следственное управление Следственного комитета РФ по Тюменской области, либо в следственные отделы города Тюмени и области. Каждое такое обращение будет тщательно  рассмотрено с проверкой всех доводов и принятием решения в строгом соответствии с законом. В том числе, такое обращение может быть направлено посредством Интернет-приёмной на официальном сайте следственного управления, либо на Телефон доверия: 8 (3452) 62-15-87
Подразделение: следственный отдел по Калининскому АО г. Тюмень."
/news/item/1750603/,tyumen,В Тюменской области завершено расследование уголовного дела   о покушении на посредничество во взяточничестве в особо крупном размере на общую сумму 67 млн рублей,"['коррупция', 'посредничество']",16 Декабря 2022,"фото РУ ФСБ России по Тюменской области            

Вторым отделом по расследованию особо важных дел завершено расследование уголовного дела в  отношении двух адвокатов и бывшего заместителя начальника отдела по борьбе с организованной преступностью УУР УМВД России по Тюменской области. Они обвиняются в совершении преступлений, предусмотренных ч. 3 ст. 30, ч. 4 ст. 291.1 УК РФ (покушение на посредничество во взяточничестве, совершенное группой лиц по предварительному сговору, в особо крупном размере).
По версии следствия, в период с декабря 2018 года по декабрь 2020 года к фигурантам уголовного дела, вступившим в преступный сговор,  обращались родственники обвиняемых, в отношении которых была избрана мера пресечения в виде заключения под стражу с просьбой, найти должностное лицо из числа сотрудников правоохранительных органов, кто в силу своих служебных полномочий сможет «решить вопрос» об изменении меры пресечения, не связанной с лишением свободы. В каждом случае сумма взятки варьировалась от 20 до 27 млн рублей. Однако умысел обвиняемых, направленный на непосредственную передачу взятки, не был реализован, поскольку никто из них не обладал необходимыми связями. Один из посредников-соучастников преступлений вводил в заблуждение остальных лиц относительно возможности передать взятку, создавал видимость и присваивал себе большую часть денег. Остальная часть распределялась между остальными фигурантами  за оказанные посреднические услуги.  
По ходатайству следователя судом в отношении в отношении бывшего сотрудника полиции избрана мера пресечения в виде заключения под стражу,  в отношении адвокатов избрана мера пресечения в виде домашнего ареста. 
В ходе следствия с одним из адвокатов заключено досудебное соглашение о сотрудничестве, уголовное дело в отношении него выделено в отдельное производство.
В результате слаженных и профессиональных действий следователей СК России, оперативных сотрудников регионального управления  ФСБ  данное преступление было раскрыто. 
Следствием собрана достаточная доказательственная база в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1738239/,tyumen,"Вынесен приговор бывшему сотруднику УФСИН России по Тюменской области, признанному виновным  в  совершении коррупционных преступлений",['приговор'],24 Ноября 2022,"Собранные следственным отделом по Калининскому АО г. Тюмень следственного управления Следственного комитета Российской Федерации по Тюменской области доказательства признаны судом достаточными для вынесения приговора  бывшему заместителю  начальника ФКУ СИЗО-1 УФСИН России по  Тюменской области. Он признан виновным   в совершении  5 эпизодов преступлении я, предусмотренного ч. 3 ст.290 УК РФ (получение должностным лицом через посредника  взятки в значительном размере).  
Следствием и судом установлено, что   в декабре 2020 года одному из заключенных удалось договориться с подсудимым, который на тот момент был действующим сотрудником, о проносе продуктов без досмотра и составления документов,   запрещенных на территории УФСИН за денежное вознаграждение.   
Благодаря  совместному налаженному взаимодействию подразделений   РУФСБ России по Тюменской  области,  ОСБ УФСИН России по Тюменской области и Следственного комитета России по Тюменской области фигурант уголовного дела был  задержан.
Суд назначил подсудимому наказание в виде 5 лет лишения свободы с отбыванием наказания в колонии общего режима, с лишением права занимать должности, связанные с осуществлением функций представителя власти на срок 2 года 6 месяцев. 
Подразделение: следственный отдел по  Калининскому АО г. Тюмень"
/news/item/1552195/,tyumen,В Тюмени предъявлены обвинения начальнику межрайонного отдела ГИБДД и его посреднику по делу о взятках за выдачу водительских удостоверений,[],08 Ноября 2022,"Вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Тюменской области предъявлены обвинения   начальнику межрайонного отдела МО ГИБДД регистрационной экзаменационной работы и технического надзора авто мото транспортных средств УМВД России по Тюменской области  и его посреднику.
В зависимости от роли и степени участия каждого они обвиняются в совершении 12 эпизодов преступления, предусмотренного ч. 3 ст.290 УК РФ (получение должностным лицом через посредника  взятки в значительном размере),   а также  12 преступлений, предусмотренных ч.2 ст.291.1 УК РФ  (Посредничество во взяточничестве). 
По версии следствия,  с октября 2018 года по декабрь 2019 года граждане, желающие получить водительские права без сдачи необходимых экзаменов, обращались с соответствующей просьбой к посреднику, который  получал от  них деньги и передавал их начальнику отдела. В свою очередь тот давал незаконные указания своим подчиненным инспекторам о приеме экзаменов без фактической сдачи с целью последующей выдачи водительского удостоверения.   
Благодаря грамотно спланированной совместной деятельности их задержали в результате оперативной разработки подразделения   РУФСБ России по Тюменской  области, совместно  с сотрудниками  ОСБ УМВД России по Тюменской области и Следственного комитета России.
В настоящее время следователем допрашиваются свидетели, производятся мероприятия по изъятию и осмотру документов, подтверждающих факт совершения указанных преступлений.
В настоящее время в отношении обоих избрана мера пресечения в виде заключения под стражу. Расследование уголовного дела продолжается.  
Подразделение:Второй отдел по расследованию особо важных дел."
/news/item/1230994/,tyumen,В областном центре суд оштрафовал депутата сельского поселения за покушение на дачу взятки инспектору ДПС,['взятка'],07 Ноября 2022,"Доказательства собранные следственным отделом по Центральному АО г. Тюмень следственного управления Следственного комитета Российской Федерации по Тюменской области признаны судом достаточными для вынесения решения в отношении 41-летнего депутата Думы одного из сельских поселений Исетского муниципального района Тюменской области за совершение преступления, предусмотренного  ч. 3 ст. 30, ч.1 ст.291.2 УК РФ (покушении на мелкое взяточничество).
По данным следствия, в ночное время 24 апреля 2018 года на одной из улиц города Тюмени, мужчина, управляя автомобилем, совершил административное правонарушение –  управление транспортным средством водителем, находящимся в состоянии опьянения. После чего, не желая быть подвергнутым административному наказанию, которое предусматривает штраф в размере 30 000 рублей, либо лишение права управления автомобилем на определенный срок, подозреваемый попытался передать инспектору ДПС  взятку в размере 1500 рублей. Однако, преступные действия мужчины были пресечены сотрудниками правоохранительных органов.
В ходе производства предварительного следствия установлено, что подозреваемый совершил преступление небольшой тяжести, кроме этого ранее не судим, полностью признал свою вину, в связи с чем, уголовное дело было направлено в суд для применения меры уголовно-правового характера в виде судебного штрафа.
С учетом изложенного мировой судья судебного участка № 2 Центрального судебного района города Тюмени применил меры уголовно-правового характера в виде судебного штрафа в размере 50 000 рублей в доход государства.
 
Подразделение: следственный отдел по Центральному АО г. Тюмень."
