Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1181371/,chr,Возбуждено уголовное дело в отношении заместителя директора школы по подозрению в совершении служебного подлога,[],29 Марта 2024,"Следственным отделом по Шелковскому району возбуждено уголовное дело в отношении заместителя директора по административно-хозяйственной деятельности МБОУ «Каршига-Аульская основная общеобразовательная школа» по признакам преступления, предусмотренного ч.1 ст.292 УК РФ (служебный подлог).
По данным следствия, в сентябре 2017 года подозреваемый внес в авансовый отчет заведомо ложные сведения о заправке картриджей для нужд школы, что фактически не соответствовало действительности. После чего, выделенные на эти цели денежные средства подозреваемый израсходовал по собственному усмотрению.
Расследование уголовного дела продолжается."
/news/item/1257517/,chr,В отношении местного жителя возбуждено уголовное дело за дачу взятки инспектору ДПС,['взятка'],18 Марта 2024,"Следственным отделом по Шелковскому району возбуждено уголовное дело в отношении 40-летнего местного жителя по признакам преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки должностному лицу).  
По данным следствия, подозреваемый с целью избежать административной ответственности за управление автотранспортом  без водительского удостоверения предложил инспектору ДПС взятку в размере 11 тысяч рублей.
Преступные действия мужчины были пресечены на месте преступления сотрудниками полиции.
Расследование уголовного дела продолжается."
/news/item/1248339/,chr,Возбуждено уголовное дело в отношении врача подозреваемого в получении взятки,"['взятка', 'должностное лицо']",13 Марта 2024,"Шалинским межрайонным следственным отделом возбуждено уголовное дело в отношении 34-летнего врача ГБУ «Аргунская городская больница №1»  по признакам преступления, предусмотренного ч.3 ст.290 УК РФ (получение взятки).
По данным следствия, к врачу «Аргунской городской больницы №1» обратился местный житель с целью проведения медицинского обследования и установления степени тяжести своего заболевания для последующего получения группы инвалидности по состоянию здоровья.
Подозреваемый объяснил пациенту, что его заболевание не входит в список заболеваний дающих право на получение инвалидности и согласился  оказать ему содействие в подготовке фиктивных медицинских документов за денежное вознаграждение в сумме 30 тысяч рублей. Пациент согласился заплатить врачу требуемую сумму.
Однако осознавая, что действия врача являются противоправными, мужчина обратился с заявлением в правоохранительные органы.
На следующий день при получении взятки в размере 30 тысяч рублей за подготовку фиктивных медицинских документов врач был задержан на месте преступления сотрудниками правоохранительных органов.
В настоящее время следствием проводятся необходимые следственные мероприятия, ведется сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается."
/news/item/1705046/,chr,"Перед судом предстанет завхоз школы, обвиняемый в получении взятки",['взятка'],07 Февраля 2024,"Гудермесским межрайонным следственным отделом СУ СКР по Чеченской Республике завершено расследование уголовного дела в отношении заведующего  хозяйством МБОУ «СОШ села Ножай-Юрт», который обвиняется  в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение взятки).
По данным следствия,  к обвиняемому обратился местный житель с просьбой о его трудоустройстве рабочим в школе, при этом мужчина сообщил, что он имеет неснятую и не погашенную судимость.
Обвиняемый достоверно зная, что лицо, имеющее неснятую и не погашенную судимость, не может быть трудоустроено в школу, тем не менее, пообещал мужчине принять его на работу за денежное вознаграждение в размере 50 тысяч рублей, на что последний дал свое согласие. Однако осознав незаконность действий обвиняемого, мужчина обратился с заявлением в следственные органы.
В ходе оперативного мероприятия сотрудники правоохранительных органов задержали обвиняемого на месте преступления в момент получения им взятки от вышеуказанного лица в размере 50 тысяч рублей.
Следствием собрана достаточная доказательственная база, в связи с чем, прокурором утверждено обвинительное заключение по уголовному делу."
/news/item/1143688/,chr,Судебный пристав-исполнитель подозревается в служебном подлоге,[],01 Февраля 2024,"Ачхой-Мартановским межрайонным следственным отделом возбуждено уголовное дело в отношении судебного пристава-исполнителя Урус-Мартановского районного отдела УФССП России по ЧР по признакам преступления, предусмотренного ч.2 ст.292 УК РФ (служебный подлог).
По данным следствия, в сентябре 2015 года судебный пристав-исполнитель путем обмана, с использованием своего служебного положения вынес постановление с ложными сведениями об окончании исполнительного производства и взыскании 5 тысяч рублей с местного жителя в пользу МВД по ЧР.
Однако исполнительное производство было прекращено без фактического исполнения и перечисления 5 тысяч рублей на расчетный счет МВД по ЧР. При этом, указанную сумму, подозреваемый присвоил.
В настоящее время следствием устанавливаются причины и условия, способствовавшие совершению данного преступления. Расследование уголовного дела продолжается."
/news/item/1814469/,chr,"Перед судом предстанет местный житель, обвиняемый в покушении на дачу взятки полицейскому",['взятка'],10 Января 2024,"Cледственным отделом по Висаитовскому району города Грозного следственного управления СКР по Чеченской Республике завершено расследование уголовного дела в отношении местного жителя по признакам преступлений, предусмотренных ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу).
По данным следствия, 33-летний местный житель, находясь в служебном кабинете участкового уполномоченного полиции, предложил участковому взятку за уничтожение протокола об административном правонарушении, составленного в отношении него за совершение административного правонарушения. 
Сотрудник полиции отказался от принятия неправомерного решения и предложенных ему денежных средств. Незаконные действия подозреваемого были пресечены  на месте преступления сотрудниками правоохранительных органов.
Следствием собрана достаточная доказательственная база, в связи с чем прокурором утверждено обвинительное заключение по уголовному делу."
/news/item/1062038/,chr,По факту злоупотребления полномочиями возбуждено уголовное дело в отношении директора предприятия,[],06 Декабря 2023,"Грозненским межрайонным следственным отделом возбуждено уголовное дело в отношении генерального директора государственного унитарного предприятия «Фагус» по признакам преступления, предусмотренного ч.1 ст.201 УК РФ (злоупотребление полномочиями).
По данным следствия, в 2014 году генеральный директор в целях извлечения для себя выгоды заключил от имени лесопромышленного предприятия «Фагус» договор займа с физическим лицом и получил от него денежные средства в сумме 1 миллион 770 тысяч рублей.
Однако, подозреваемый имея реальную возможность возврата денежных средств заемщику, не принял мер к своевременному погашению займа. В результате чего, судом было вынесено судебное решение в пользу лица предоставившего заем, и на основании этого возбуждено исполнительное производство  о взыскании с  ГУП «Фагус» более 2 миллионов рублей. 
Таким образом, судебными приставами был арестован и передан на торги движимого имущества, закрепленный за предприятием автомобиль стоимостью более 2 миллионов рублей, чем был нанесен существенный вред ГУП «Фагус».
В настоящее время следствием устанавливаются причины и условия, способствовавшие совершению данного преступления. Расследование уголовного дела продолжается."
/news/item/1212943/,chr,"Перед судом предстанет бывшая директор Дома культуры, обвиняемая в служебном подлоге и мошенничестве","['мошенничество', 'служебный подлог']",27 Ноября 2023,"Грозненским межрайонным следственным отделом завершено расследование уголовного дела в отношении бывшего директора муниципального казенного учреждения «Сельский Дом культуры с.Комсомольское», которая обвиняется в совершении преступлений, предусмотренным ч.1ст.292, ч.3 ст.159 УК РФ (служебный подлог, мошенничество).
По данным следствия, в 2016 году обвиняемая, используя свое служебное положение с целью хищения денежных средств, издала приказ о приеме местной жительницы на должность хореографа Дома культуры. В то время как фактически женщина в  должности хореографа не работала и на рабочем месте отсутствовала.
Продолжая свои преступные действия, обвиняемая с апреля по декабрь 2016 года вносила в табели учета рабочего времени заведомо ложные сведения об исполнении хореографом своих обязанностей и таким образом лично получила незаконно начисленную заработную плату за вышеуказанный период на общую сумму 92 тысячи рублей.
Следствием собрана достаточная доказательственная база, в связи с чем прокурором утверждено обвинительное заключение по уголовному делу."
/news/item/1188430/,chr,Грозненским МСО  возбуждено уголовное дело в отношении врио главы сельского поселения за получение взятки,['взятка'],14 Ноября 2023,"Грозненским межрайонным следственным отделом возбуждено уголовное дело в отношении временно исполнявшего обязанности главы Кесалойского сельского поселения Шаройского района по признакам преступления, предусмотренного ч.3 ст.290 УК РФ (получение взятки должностным лицом).
По данным следствия, в ноябре 2017 года с целью получения в банке кредита к подозреваемому обратился местный житель с просьбой предоставить ему выписку из похозяйственной книги с заведомо ложными сведениями о наличии у последнего подсобного хозяйства. Подозреваемый согласился предоставить местному жителю вышеуказанную справку с ложными сведениями за 13 тысяч рублей.
В ходе проведения сотрудниками правоохранительных органов оперативного эксперимента врио главы Кесалойского сельского поселения был задержан на месте преступления  при получении от местного жителя взятки в размере 13 тысяч рублей.
Расследование уголовного дела продолжается.
Гражданам необходимо помнить об уголовной ответственности за получение взятки.  Санкция ст. 290 УК РФ предусматривают за совершение данного преступления наказание в виде лишения свободы, максимальный срок которого может достигнуть 15 лет."
/news/item/1698449/,chr,Бывший директор школы в селе Брагуны подозревается в мошенничестве,['мошенничество'],10 Ноября 2023,"Гудермесским межрайонным следственным отделом СУ СКР по Чеченской Республике возбуждено уголовное дело в отношении бывшего директора школы, который подозревается в совершении преступления, предусмотренного ч.3 ст.159 УК РФ (мошенничество).
По данным следствия, подозреваемый, являясь в 2018-2021 годах директором муниципального бюджетного образовательного учреждения «Брагунская СШ», путем обмана, используя свое служебное положение, с целью хищения денежных средств, начисляемых в качестве заработной платы, фиктивно оформил на работу в школе двух местных жителей в качестве истопника и рабочего по обслуживанию здания школы. При этом данные лица не обращались к подозреваемому с заявлениями о трудоустройстве в школе.
Таким образом, на основании заведомо ложных сведений, вносимых подозреваемым в табели учета рабочего времени лицам фактически не исполнявшим свои трудовые обязанности в должности истопника и рабочего, были начислены в разный период времени более 140 тысяч рублей, которые подозреваемый получал лично и расходовал по своему усмотрению.
В ходе следствия будут установлены причины и условия, способствовавшие совершению данного преступления. Расследование уголовного дела продолжается."
