Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1225996/,tver,"В отношении директора образовательного учреждения, подозреваемого в получении взятки, избрана мера пресечения, связанная с ограничением свободы","['взятка', 'коррупция']",03 Апреля 2024,"Московским межрайонным следственным отделом г. Тверь следственного управления Следственного комитета Российской Федерации по Тверской области расследуется уголовное дело в отношении директора одной из образовательных школ, подозреваемого в совершении преступления, предусмотренного п. «в» ч.5 ст.290 УК РФ (получение взятки в крупном размере).
По версии следствия, в период с августа по сентябрь 2016 года директор школы получил на свой расчетный счет путем перевода ему в качестве взятки 160 тысяч рублей от представителя двух организаций за подписание и дальнейшую оплату контракта между ними и средней образовательной школой на ремонт актового зала и лестничного пролета в школе.
Подозреваемый задержан, допрошен. Суд избрал в отношении фигуранта меру пресечения в виде домашнего ареста. Расследование уголовного дела продолжается."
/news/item/1046992/,tver,В Твери завершено расследование уголовного дела в отношении преподавателя высшего учебного заведения,[],29 Марта 2024,"Московским межрайонным следственным отделом г. Тверь следственного управления Следственного комитета Российской Федерации по Тверской области завершено расследование уголовного дела в отношении преподавателя ГБОУ ВПО «Тверской государственный медицинский университет», обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 290 УК РФ (получение взятки - 7 эпизодов).
Следствием установлено, что в период с 5 по 20 мая 2016 года преподаватель, находясь в учебной аудитории Университета, взял у семи студентов взятки на общую сумму 17 тыс. 500 рублей, за получение последними зачета по предмету, без его фактической сдачи.
Следствием собрана достаточная доказательная база, в связи с чем, уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1053355/,tver,"Перед судом предстанет директор общества с ограниченной ответственностью, обвиняемый в даче взятки должностному лицу",[],27 Декабря 2023,"Торжокским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Тверской области завершено расследование уголовного дела в отношении генерального директора ООО «Стройсталь-Связь», обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 291 УК РФ (дача взятки должностному лицу за совершение заведомо незаконного бездействия).
Следствием установлено, что в период с 18 по 24 февраля 2016 года руководством отдела УФМС России по Тверской области в Торжокском районе были вынесены определения о возбуждении дел об административном производстве и проведении административного расследования в отношении ООО «Стройсталь» и «Стройсталь-Связь». 1 марта 2016 года мужчина, являющийся руководителем проекта ООО «Стройсталь» и одновременно генеральным директором ООО «Стройсталь-Связь», находясь в кабинете начальника отдела УФМС России по Тверской области в Торжокском районе передал последнему взятку в сумме 125 тыс. рублей за не составление протоколов об административных правонарушениях.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1008227/,tver,Перед судом предстанет бывший глава муниципального образования по обвинению в мошенничестве,[],17 Ноября 2023,"Отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Тверской области завершено расследование уголовного дела в отношении бывшего главы муниципального образования Заовражское сельское поселение Кувшиновского района Василия Орлова, являющегося председателем Совета депутатов Заовражского сельского поселения, обвиняемого в совершении преступления, предусмотренного ч. 4 ст. 159 УК РФ (мошенничество, с использованием своего служебного положения, группой лиц по предварительному сговору в особо крупном размере).
Следствием установлено, что в декабре 2008 года Орлов, являясь председателем Совета депутатов Заовражского сельского поселения, главой сельского поселения и главой администрации Заовражского сельского поселения, решил принять участие в федеральной целевой программе «Социальное развитие села до 2012 года» и получить социальную выплату на строительство нового дома для своей семьи, осознавая, что его семья не подпадает под условия данной Программы. В декабре 2008 года Орлов собственноручно подделал и подписал ряд документов, из которых следовало, что его семья поставлена на жилищный учет в органах местного самоуправления, нуждается в улучшении жилищных условий, после чего, ранее знакомая ему женщина по его просьбе подделала отчет оценщика ООО «Мастер Групп», необходимый в соответствии с условиями Программы и передала документы в департамент социально-экономического развития села Тверской области, где семья Орлова была признана участником Программы, ей была выделена социальная выплата в сумме 1 млн. 945 тыс. рублей. Данными деньгами Орлов со своей знакомой распорядились по собственному усмотрению, построив для первого новый дом, на который его семья не имела права. Уголовное преследование в отношении женщины прекращено в связи с ее смертью.   
Следствием собрано достаточно доказательств, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1849177/,tver,Следователем второго отдела по расследованию особо важных дел завершено расследование коррупционного преступления,['коррупция'],16 Ноября 2023,"ФОТО: СУ СК РФ по Тверской области.             

Вторым отделом по расследованию особо важных дел (о преступлениях в против государственной власти и в сфере экономики) следственного управления Следственного комитета Российской Федерации по Тверской области завершено расследование уголовного дела по обвинению жителя города Ржева в совершении 16 эпизодов мошенничества в отношении жителей Тверской и Московской областей, а также Москвы и Республики Узбекистан (ч. 3 ст. 159 УК РФ, ч. 2 ст. 159 УК РФ).
По версии следствия, в период с 2020 по 2022 года житель города Ржева путем обмана похитил денежные средства граждан в обшей сумме свыше 1 миллиона 700 тысяч рублей под видом посредничества в даче ими взяток должностным лицам различных ведомств за незаконные действия по освобождению от призыва на военную службу, выдачи водительских удостоверений.
Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным прокурором обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1199618/,tver,Бывшая сотрудница налоговой службы подозревается в получении взятки,"['взятка', 'налоговый орган']",15 Ноября 2023,"Отделом по расследованию особо важных дел следственного управления Следственного комитета России по Тверской области по материалам, предоставленным УЭБ и ПК регионального УМВД России, возбуждено уголовное дело в отношении 41-летней и 55-летней женщин, последняя из которых является бывшим заместителем начальника Межрайонной ИФНС России № 12 по Тверской области. В зависимости от роли каждого они подозреваются в совершении преступлений, предусмотренных ч. 1 ст. 290 УК РФ,  ч. 1 ст. 291 УК РФ (получение должностным лицом лично взятки, дача взятки).
По данным следствия, 17 октября 2017 года женщина, находясь в рабочем кабинете заместителя начальника Межрайонной ИФНС, довела до сведения последней информацию о подаче в налоговую инспекцию пакета документов для государственной регистрации названным регистрирующим органом внесения в ЕГРЮЛ сведений о ликвидации неформально представляемого ею юридического лица, а также о наличии препятствий к совершению данных регистрационных действий по причине отсутствия в представленном ликвидационном балансе организации сведений о кредиторской задолженности, заявив о своем желании при указанных обстоятельствах совершения налоговой инспекцией вышеуказанных регистрационных действий. В ходе данной встречи заместитель начальника Межрайонной ИФНС, используя свое служебное положение, сообщила женщине о готовности оказать ей содействие, после чего между ними была достигнута преступная договоренность о размере, условиях и порядке передачи взятки последней за совершение входивших в ее служебные полномочия действий и способствование указанным действиям в силу своего должностного положения. Так, 25 октября 2017 года, в своем служебном кабинете заместитель начальника налоговой службы сообщила женщине об урегулировании ее проблемы, связанной с отсутствием в ликвидационном балансе организации сведений о кредиторской задолженности, после чего лично получила от нее взятку в сумме 20 тысяч рублей.
Проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления, сбор и закрепление доказательственной базы."
/news/item/1506175/,tver,В Тверской области по обвинению в совершении мошенничества перед судом предстанет начальник районного отдела лесного хозяйства,"['мошенничество', 'собранные доказательства']",30 Октября 2023,"Фото из открытых источников.            

Краснохолмским межрайонным следственным отделом следственного управления Следственного комитета Российской Федерации по Тверской области завершено расследование уголовного дела в отношении начальника Молоковского отдела лесного хозяйства ГКУ «Краснохолмское лесничество Тверской области», обвиняемого в совершении преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество).
Следствием установлено, что в период с января 2015 по май 2020 года начальник Молоковского отдела лесного хозяйства ГКУ «Краснохолмское лесничество Тверской области» путем обмана и злоупотребления доверием, с использованием своего служебного положения, фиктивно заключал гражданско-правовые договора на оказание услуг по дежурству и по уборке в административном здании, а также инициировал трудоустройство различных людей на вакантные должности водителей данной организации. Далее он вносил ложные сведения в акты приемки услуг, выполненных по гражданско-правовым договорам и табеля учета рабочего времени, на основании которых были перечислены денежные средства на банковские карты фиктивно трудоустроенных сотрудников, которые находились в его личном пользовании.
За период расследования уголовного дела следователем Следственного комитета и осуществляющими оперативное сопровождение сотрудниками полиции проведен комплекс следственных и оперативно-розыскных мероприятий, ряд судебных экспертиз, допрошены свидетели и дана всесторонняя юридическая оценка действиям обвиняемого.
Следствием собрана достаточная доказательная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1745233/,tver,По коррупционному преступлению оглашен приговор суда,"['коррупция', 'приговор', 'собранные доказательства']",10 Августа 2023,"ФОТО: СУ СК РФ по Тверской области.             


Собранные вторым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Тверской области (о преступлениях против государственной власти и в сфере экономки) доказательства признаны судом достаточными для вынесения приговора в отношении бывшего сотрудника межрайонной ИФНС России №12. Он признан судом виновным в совершении преступления, предусмотренного п. «б» ч.4 ст. 291 УК РФ (дача взятки должностному лицу, в крупном размере, за совершение заведомо незаконных действий).


Следствием и судом установлено, что 13 июня текущего года главный государственный налоговый инспектор отдела выездных проверок ИФНС передал должностному лицу налоговых органов взятку в сумме 500 тысяч рублей для решения вопроса об уменьшении налоговых платежей и штрафных санкций по результатам проведенной выездной налоговой проверки в отношении одного из Обществ. Сразу после передачи денежных средств налоговый инспектор был задержан на месте преступления сотрудниками УФСБ России по Тверской области.


По уголовному делу проведен комплекс следственных действий и оперативных мероприятий, направленных на установление всех обстоятельств совершенного преступления.


Приговором суда подсудимому назначено наказание в виде 7 лет лишения свободы с отбыванием в исправительной колонии строгого режима."
/news/item/1697635/,tver,В городе Твери налоговый инспектор задержан по подозрению в посредничестве во взяточничестве,"['взятка', 'посредничество']",08 Августа 2023,"ФОТО: СУ СК РФ по Тверской области.            

Первым отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Тверской области по материалам, предоставленным УФСБ России по Тверской области, возбуждено уголовное дело в отношении сотрудника Межрайонной ИФНС России №12 по Тверской области, по признакам преступления, предусмотренного п. «б» ч. 3 ст. 291.1 УК РФ (посредничество во взяточничестве, совершенное в крупном размере).
По версии следствия, 13 июня текущего года главный государственный налоговый инспектор отдела выездных проверок ИФНС, находясь по улице Строителей города Твери, передал должностному лицу налоговых органов взятку в сумме 500 тысяч рублей для решения вопроса об уменьшении налоговых платежей и штрафных санкций по результатам проведенной выездной налоговой проверки в отношении одного из Обществ. Сразу после передачи денежных средств налоговый инспектор был задержан на месте преступления сотрудниками УФСБ России по Тверской области.
В ближайшее время следствие выйдет в суд с ходатайством об избрании в отношении задержанного меры пресечения в виде заключения под стражу.  
В настоящее время по делу проводятся следственные действия и оперативные мероприятия, направленные на установление всех обстоятельств совершенного преступления. Расследование уголовного дела продолжается."
/news/item/1871706/,tver,В Твери заместителю муниципального автономного учреждения предъявлено обвинение в получении взятки в крупном размере,"['взятка', 'коррупция']",19 Июля 2023,"ФОТО: СУ СК РФ по Тверской области.             


Вторым отделом по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) следственного управления Следственного комитета Российской Федерации по Тверской области по материалам, предоставленным УФСБ России по Тверской области, возбуждено и расследуется уголовное дело по обвинению заместителя директора МАУ «Дирекция парка» в получении взятки в крупном размере (п. «в» ч. 5 ст. 290 УК РФ).


По версии следствия, 20 марта 2024 года заместитель директора МАУ «Дирекция парка» получил денежные средства в качестве взятки в сумме 200 тысяч рублей от лица, осуществляющего коммерческую деятельность за общее покровительство, беспрепятственное осуществление коммерческой деятельности на территории городского сада города Твери и устранение конкуренции со стороны других предпринимателей.


Суд удовлетворил ходатайство следствия и избрал в отношении мужчины меру пресечения в виде заключения под стражу.


По уголовному делу следователем Следственного комитета продолжается проведение следственных действий, направленных на установление всех обстоятельств произошедшего."
