Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1536565/,chel,В Челябинской области главному инженеру муниципального учреждения и двум руководителям коммерческих организаций предъявлено обвинение в совершении коррупционных преступлений,[],21 Августа 2023,"Следственными органами Следственного комитета Российской Федерации по Челябинской области главному инженеру муниципального бюджетного учреждения «Эксплуатация внешних инженерных сетей города Челябинска» предъявлено обвинение в совершении преступления, предусмотренного п.«в» ч.5 ст.290 УК РФ (получение вятки). Двум руководителям коммерческих организаций предъявлено обвинение в совершении преступления, предусмотренного п.«а,б» ч.4 ст.291 УК РФ (дача  вятки).
По версии следствия, в октябре 2020 года обвиняемый получил взятку в сумме 200 тысяч рублей от  вышеуказанных лиц за обеспечение общего покровительства при размещении, заключении, исполнении муниципальных контрактов и оплаты за выполненные работы.
Преступления выявлены сотрудниками ГУ МВД России по Челябинской области,  которые осуществляют оперативное сопровождение уголовного дела.
Расследование уголовного дела продолжается.
  
Следственное управление
СК России по Челябинской области
04.02.2021"
/news/item/1764993/,chel,В Челябинской области сотрудник управления Гостехнадзора регионального министерства сельского хозяйства подозревается в получении взяток,"['взятка', 'деньги', 'следователь СК']",28 Июля 2023,"Следственными органами Следственного комитета Российской Федерации по Челябинской области возбуждено уголовное дело в отношении главного государственного инженера-инспектора Кунашакского района  управления Гостехнадзора министерства сельского хозяйства Челябинской области, подозреваемого в совершении преступлений, предусмотренных ч.3 ст.290 УК РФ (получение взятки).
По версии следствия, подозреваемый в течение 2022 года получил взятки от местных жителей в сумме более 38 тысяч рублей за получение удостоверений тракториста-машиниста без сдачи теоретических и практических экзаменов по управлению самоходными машинами. Проверяется причастность подозреваемого к совершению аналогичных преступных эпизодов.

Оперативное сопровождение по уголовному делу осуществляется сотрудниками ГУ МВД Российской Федерации по Челябинской области.
Подозреваемый задержан в порядке ст.91 УПК РФ. В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств преступления, решается вопрос о предъявлении обвинения.
 
Следственное управление
СК России по Челябинской области
09.02.2023"
/news/item/1178885/,chel,"В Челябинской области осужден бывший заместитель главы администрации Чебаркульского городского округа, признанный виновным в получении взятки и служебном подлоге",[],24 Июля 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Челябинской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшего заместителя главы  администрации Чебаркульского городского округа Олега Соловьева, признанного виновным в совершении преступлений, предусмотренных ч.ч.2,3 ст.290 УК РФ (получение взятки), ч.1 ст.292 УК РФ (служебный подлог).
Следствием и судом установлено, что осужденный в 2016 году получил взятку в виде услуг имущественного характера от местного предпринимателя в сумме более 90 тысяч рублей, который предоставил чиновнику квартиру в Чебаркуле для проживания. За это чиновник содействовал последнему в заключении муниципальных контрактов по благоустройству, создавая препятствия для участия в конкурсах других предпринимателей. В 2016 году другой предприниматель оплатил за чиновника административный штраф в сумме 15 тысяч рублей за нарушения им финансовой дисциплины, за что Соловьев способствовал ему в заключении муниципальных контрактов без проведения конкурсов. Также, в 2015 году Соловьев подписал документы о выполнении работ по 4 муниципальным договорам, зная, что те в указанный срок и в полном объеме выполнены не были. 
Преступления выявлены совместно сотрудниками регионального управления ФСБ России и ГУ МВД России по Челябинской области, которые осуществляли оперативное сопровождение по уголовному делу.
Приговором суда осужденному назначено наказание в виде штрафа в сумме 850 тысяч рублей с лишением права занимать должности на государственной и муниципальной службе в течении 2,5 лет.
  
Следственное управление
СК России по Челябинской области
13.11.2017"
/news/item/1382989/,chel,В Челябинской области главному инженеру лечебного учреждения предъявлено обвинение в получении взяток,[],06 Июля 2023,"Следственными органами Следственного комитета Российской Федерации по Челябинской области главному инженеру одной из больниц областного центра предъявлено обвинение в совершении преступления, предусмотренного п.«в» ч.5 ст.290 УК РФ (получение взятки).
По данным следствия, в период 2015-2018 годов обвиняемый получал взятки в виде денежных средств и строительных материалов  на сумму более 600 тысяч рублей от представителя коммерческой организации за возможность осуществлять деятельность по государственным контрактам. Преступление выявлено сотрудниками регионального управления ФСБ России, которые осуществляют оперативное сопровождение уголовного дела.
В настоящее время проводятся следственные действия, направленные на сбор и закрепление доказательственной базы. Обвиняемый признал вину в совершенном преступлении. В ходе расследования уголовного дела следователем СК в обязательном порядке будут установлены причины и обстоятельства, способствовавшие совершению преступления, для их устранения и профилактики подобных преступных деяний будет внесено представление.
Расследование уголовного дела продолжается.
  
Следственное управление
СК России по Челябинской области
20.08.2019"
/news/item/1661753/,chel,В Челябинской области депутату районного собрания депутатов предъявлено обвинение в даче взятки,"['взятка', 'деньги', 'коррупция']",19 Июня 2023,"Следственными органами Следственного комитета Российской Федерации по Челябинской области депутату Совета депутатов Курчатовского района г. Челябинска предъявлено обвинение в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки).
По данным следствия, обвиняемый задержан при передаче взятки в значительном размере сотруднику государственного казенного учреждения за совершение незаконных действий по выдаче разрешительной документации.        
Преступление выявлено сотрудниками Управления ФСБ России по Челябинской области, которые осуществляют оперативное сопровождение уголовного дела.
По ходатайству следователя СК судом в отношении обвиняемого избрана мера пресечения в виде заключения под стражу. Расследование уголовного дела продолжается.
  
Следственное управление
СК России по Челябинской области
05.03.2022"
/news/item/1514313/,chel,"В Челябинской области осуждена бывшая сотрудница Ростехнадзора, признанная виновной в получении  взятки",[],11 Апреля 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Челябинской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшей  сотрудницы отдела Ростехнадзора (г.Троицк), признанной виновной в совершении преступления, предусмотренного ч.1 ст.290 УК РФ (получение взятки).
По версии следствия, в 2019 году в городе Троицк осужденная получила взятку в сумме 18 тысяч рублей от представителя коммерческой организации за выполнение незаконных действий в интересах данной организации.
Преступление выявлено сотрудниками ГУ МВД России по Челябинской области, которые осуществляли оперативное сопровождение по уголовному делу.
Судом к женщине применена мера уголовно-правового характера в виде судебного штрафа в сумме 50 тысяч рублей.
  
Следственное управление
СК России по Челябинской области
11.11.2020"
/news/item/1670851/,chel,В Челябинской области руководителю структурного подразделения бюджетного учреждения предъявлено обвинение в получении взятки,"['взятка', 'деньги', 'обвинение', 'следователь СК']",23 Марта 2023,"Следственными органами Следственного комитета Российской Федерации по Челябинской области руководителю структурного подразделения бюджетного учреждения предъявлено обвинение в совершении преступления, предусмотренного п.«в» ч.5 ст.290 УК РФ (получение взятки).
По данным следствия, сотрудниками Контрольно-счетной палаты Челябинской области в ходе проверки было выявлено, в период 2019-2021 обвиняемая получила взятку от предпринимателя в сумме 350 тысяч рублей за заключение контракта на поставку офисной техники.

Оперативное сопровождение уголовного дела осуществляется сотрудниками Управления ФСБ России по Челябинской области и ГУ МВД России по Челябинской области.
Расследование уголовного дела продолжается.
 
Следственное управление
СК России по Челябинской области
06.04.2022"
/news/item/1484252/,chel,"В Челябинской области вынесен приговор предпринимателю и эксперту-оценщику, признанным виновными в мошенничестве при продаже здания под размещение детского сада",[],14 Марта 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Челябинской области доказательства признаны судом достаточными для вынесения приговора в отношении предпринимателя Раисы Бровченко и  эксперта-оценщика Сергея Богатырева, признанных виновными в совершении преступления, предусмотренного ч.4 ст.159 УК РФ (мошенничество).
Следствием и судом установлено, что в 2017 году в городе Миасс Бровченко на основании оценки, подготовленной Богатыревым, продала муниципалитету по завышенной стоимости принадлежащее ей здание, под размещение детского сада. Должностные лица органов местного самоуправления приобрели данное здание за сумму более 24 млн. рублей из средств областного бюджета, причинив ущерб в сумме более 16 млн.рублей.
Ранее приговором суда по преступному эпизоду были осуждены бывший глава Миасского городского округа Геннадий Васьков, признанного виновным в  совершении преступлений, предусмотренных п.«в» ч.3 ст.286 УК РФ (превышение должностных полномочий), ч.3 ст.30, п.«в» ч.5 ст.290 УК РФ (покушение на получение взятки), начальник отдела дошкольного образования муниципального казенного учреждения Миасского городского округа «Образование» Татьяна Биева, депутат Собрания депутатов Миасского городского округа Николай Рындин, директор коммерческой организации Олег Клевлянник, признанные виновными в совершении преступлений, предусмотренных ч.4 ст. 159 УК РФ (мошенничество). Они подготовили подложные документы о стоимости объекта недвижимости, на основании которых здание в дальнейшее было приобретено муниципалитетом по завышенной стоимости для размещения детского сада. Судом Васькову назначено наказание в виде 3,5 лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима со штрафом в сумме 1 млн. рублей. Биевой назначено наказание в виде 2 лет лишения свободы с отбыванием наказания в исправительной колонии общего режима, Рындину и Клевляннику назначено наказание в виде 2 лет лишения свободы условно каждому.
Преступление выявлено сотрудниками регионального управления ФСБ России, которые осуществляли оперативное сопровождение уголовного дела.
Приговором суда Богатыреву и Бровченко назначено наказание в виде 4 лет лишения свободы каждому с отбыванием наказания в исправительной колонии общего режима.
 
Следственное управление
СК России по Челябинской области
23.07.2020"
/news/item/1424501/,chel,"В Челябинской области осужден бывший сотрудник регионального управления Росреестра, признанный виновным в посредничестве в получении взятки",[],01 Марта 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Челябинской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшего сотрудника регионального управления Росреестра Сергея Стрельникова, признанного виновным в совершении преступления, предусмотренного ч.2 ст.291.1, п.«б» ч.3 ст.291.1 УК РФ (посредничество во взяточничестве).
Следствием и судом установлено, что в 2016 и в 2018 годах, Алексей Лунин, являясь главным специалистом отдела регионального управления Росреестра, при посредничестве Стрельникова получил от руководителя коммерческой организации взятки в сумме 30 и 500 тысяч рублей за совершение незаконных действий по государственной регистрации права собственности на объекты недвижимости.
Преступления выявлены сотрудниками регионального управления ФСБ России, которые осуществляли оперативное сопровождение уголовного дела.
Приговором суда осужденному назначено наказание в виде 5,5 лет лишения свободы условно со штрафом 2,5 млн. рублей.
Уголовное дело в отношении Лунина, заключившего досудебное соглашение, рассмотрено судом в особом порядке. Приговором суда он признан виновным в совершении преступления, предусмотренного  ч. 3 ст. 290, п. «в» ч. 5 ст. 290 УК РФ (получение взятки), ранее ему назначено аналогичное наказание.
  
Следственное управление
СК России по Челябинской области
25.12.2019"
/news/item/1293833/,chel,"В Челябинской области возбуждено уголовное дело в отношении местного жителя, подозреваемого в покушении на дачу взятки сотруднику полиции",[],27 Февраля 2023,"Следственными органами Следственного комитета Российской Федерации по Челябинской области возбуждено уголовное дело в отношении местного жителя, подозреваемого в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу).
По версии следствия, 24 января текущего года подозреваемый в отделе полиции (село Варна), предложил сотруднику полиции взятку в сумме 30 тысяч рублей за не изъятие у него более 77 тысяч единиц немаркированной табачной продукции, которые он перевозил на грузовом автомобиле из сопредельного государства. 
О произошедшем сотрудник полиции сообщил руководству, преступные действия были зафиксированы. Оперативное сопровождение по уголовному делу осуществляется сотрудниками ГУ МВД РФ по Челябинской области.
В настоящее время решается вопрос о предъявлении обвинения. Проводятся следственные действия, направленные на сбор и закрепление доказательственной базы. Расследование уголовного дела продолжается.
  
Следственное управление
СК России по Челябинской области
28.01.2019"
