Link,Topic,Card Title,Tags,Date,Card Text
/news/item/1870434/,pskov,В Псковской области заместитель главы городской администрации подозревается в получении взятки в особо крупном размере,['взятка'],03 Мая 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области по материалам УЭБ и ПК УМВД России по городу Пскову возбуждено уголовное дело в отношении 31-летнего заместителя главы администрации города Пскова – начальника управления городского хозяйства Администрации города Пскова, подозреваемого в совершении преступления, предусмотренного ч. 6 ст. 290 УК РФ (получение должностным лицом взятки в особо крупном размере). По версии следствия, в 2022 году подозреваемый получил от директора коммерческого предприятия по строительству дорожной сети автомобиль стоимостью более 5 миллионов рублей в качестве взятки за своевременное и беспрепятственное принятие работ по заключенным между коммерческим предприятием и управлением городского хозяйства города Пскова муниципальным контрактам. В настоящее время фигурант задержан в процессуальном порядке, решается вопрос об избрании ему меры пресечения, проводятся обыски, следственные и иные процессуальные действия, направленные на установление всех обстоятельств совершенного преступления. Органами следствия действиям взяткодателя также будет дана надлежащая правовая оценка."
/news/item/1667193/,pskov,В Великих Луках возбуждено еще одно уголовное дело по факту получения взятки деканом факультета,['взятка'],01 Мая 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области по материалам оперативно-розыскной деятельности отдела экономической безопасности и противодействия коррупции ОМВД России по г.Великие Луки возбуждено новое уголовное дело в отношении декана одного из факультетов филиала ПсковГУ в г.Великие Луки. Он подозревается в совершении двух преступлений, предусмотренных ч.3 ст. 290 УК РФ (получение взятки). По версии следствия, в феврале 2022 года подозреваемый получил от студента взятку в размере 27 тысяч рублей за выставление в зачетной книжке экзаменационных оценок по предметам минуя процедуру приема экзамена и проверки знаний. В настоящее время следователи совместно с полицейскими проводят следственные действия, направленные на установление всех обстоятельств совершенного преступления."
/news/item/1860418/,pskov,В городе Пскове мужчина подозревается в покушении на дачу мелкой взятки начальнику следственного изолятора,['взятка'],22 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области по материалам ОСБ УФСИН России по Псковской области возбуждено уголовное дело в отношении 31-летнего мужчины, подозреваемого в совершении преступления, предусмотренного ч. 3 ст. 30, ч. 1 ст. 291.2 УК РФ (покушение на мелкое взяточничество).
 По версии следствия, 8 февраля 2024 года в утреннее время мужчина, находясь на приеме у начальника ФКУ СИЗО-1 УФСИН России по Псковской области, попытался дать последнему взятку за разрешение не согласованного с судебными органами свидания с содержащимся в следственном изоляторе братом. Однако должностное лицо отказалось от получения взятки, мужчина был задержан.
 В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления."
/news/item/1653263/,pskov,В Пскове перед судом предстанет бизнесмен по обвинению в попытке подкупить следователя через посредника,['взятка'],01 Марта 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области завершено расследование уголовного дела в отношении генерального директора одной из фирм. Он обвиняется в совершении преступления, предусмотренного ч.3 ст.291 УК РФ (дача взятки должностному лицу через посредника в значительном размере, за совершение заведомо незаконных действий).
По версии следствия, 27 апреля 2021 года обвиняемый передал взятку в размере 50 тысяч рублей действующему в рамках оперативно-розыскных мероприятий посреднику для решения вопроса со следователем органов внутренних дел о возвращении взяткодателю ранее изъятых пограничниками немаркированных табачных изделий в количестве почти 90 тысяч пачек, являющихся вещественными доказательствами по уголовному делу. В момент передачи денег взяткодатель был задержан полицейскими.
Уголовное дело было расследовано по материалам оперативно-розыскной деятельности ОЭБ и ПК УМВД России по г.Пскову.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1761261/,pskov,В Псковской области бывший глава одного из муниципалитетов признан виновным в совершении должностных преступлений,['коррупция'],21 Февраля 2024,"Собранные третьим отделом по расследованию особо важных дел следственного управления Следственного комитета Российской Федерации по Псковской области доказательства признаны судом достаточными для вынесения приговора в отношении бывшего главы Палкинского района. Он признан виновным в совершении покушения на мошенничество (ч.3 ст.30, ч.3 ст.159 УК РФ) и двух фактов превышения должностных полномочий (ч.2 ст.286 УК РФ), совершенных в бюджетной сфере.
Установлено, что в мае 2019 года подсудимый предоставил для оплаты в Администрацию городского поселения «Палкино» документы о выполнении его братом работ по ремонту тротуара и участка автодороги, которые фактически выполнил местный предприниматель на безвозмездной основе.
Кроме того, в 2019 году он дважды превысил свои должностные полномочия при подписании актов о приемке работ в рамках муниципальных контрактов по реконструкции дома культуры и текущему ремонту дорог муниципального значения, в результате чего подрядчикам были переведены денежные средства за фактически невыполненные работы на общую сумму почти 1 млн рублей.
Приговором суда виновному назначено наказание в виде 3 лет принудительных работ с удержанием 10% заработка в доход государства.
Оперативное сопровождение по уголовному делу осуществляли сотрудники региональных управлений ФСБ и МВД."
/news/item/1660195/,pskov,В Новосокольническом районе глава сельского поселения подозревается в получении взятки за беспрепятственную добычу песка,['взятка'],19 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области по материалам оперативно-розыскной деятельности УМВД России по Псковской области возбуждено уголовное дело в отношении главы сельского поселения в Новосокольническом районе. Он подозревается в совершении преступления, предусмотренного ч.4 ст.290 УК РФ (получение взятки).
По версии следствия, в 2020-2021 гг. подозреваемый неоднократно получал от индивидуального предпринимателя взятки за возможность беспрепятственно добывать и вывозить песок с карьера, при отсутствии разрешающих документов на добычу общераспространенных полезных ископаемых.
Общая сумма незаконного вознаграждения, которая была перечислена ему на банковскую карту, превысила 80 тысяч рублей.
 
В настоящее время проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления."
/news/item/1795051/,pskov,В Пскове мужчина признан виновным в попытке подкупить следователя через посредника,['взятка'],16 Февраля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Псковской области доказательства признаны судом достаточными для вынесения приговора в отношении генерального директора одной из фирм. Он признан виновным в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки должностному лицу через посредника в значительном размере, за совершение заведомо незаконных действий).
Установлено, что 27 апреля 2021 года подсудимый передал взятку в размере 50 тысяч рублей действующему в рамках оперативно-розыскных мероприятий посреднику для решения вопроса со следователем органов внутренних дел о возвращении взяткодателю ранее изъятых пограничниками немаркированных табачных изделий в количестве почти 90 тысяч пачек, являющихся вещественными доказательствами по уголовному делу. В момент передачи денег взяткодатель был задержан полицейскими.
Уголовное дело было расследовано по материалам оперативно-розыскной деятельности ОЭБ и ПК УМВД России по г.Пскову.
Приговором суда виновному назначено наказание в виде штрафа."
/news/item/1809221/,pskov,В Пскове завершено расследование уголовного дела в отношении шести основных участников преступного сообщества по обвинению в хищении бюджетных средств и имущества,['мошенничество'],13 Февраля 2024,"Третьим отделом по расследованию особо важных дел (о преступлениях прошлых лет) следственного управления Следственного комитета Российской Федерации по Псковской области завершено расследование уголовного дела в отношении шести из девяти участников преступного сообщества, обвиняемых следствием в серии мошеннических действий в особо крупном размере и других преступлений (ч.4 ст.159, п. «а», «б» ч.2 ст.165, ч.1 ст.222, ч.2 и 3 ст.210 УК РФ).
По версии следствия, с 2018 по 2021 гг. участники преступного сообщества, в которое входили руководители подразделений УМВД России по Псковской области и их подчиненные из тылового обеспечения, а также сотрудники коммерческих организаций города Пскова по техническому обслуживанию и ремонту автомобилей, совершили хищение бюджетных средств МВД России на сумму почти 11 млн рублей, похитили мошенническим путем 20 ведомственных легковых и грузовых автомобилей иностранного и отечественного производства, а также специальную технику, причинив в результате указанных и иных противоправных действий общий ущерб на сумму почти 20 млн рублей.
Уголовное дело возбуждено и расследовано при оперативном сопровождении сотрудников Главного управления собственной безопасности МВД России, а также собственной безопасности УМВД России по Псковской области.
В ходе обысков следователи изъяли у фигурантов наличные денежные средства на сумму около одного миллиона рублей, а также наложили арест на их движимое и недвижимое имущество в Псковской области и других регионах России на общую сумму 7 млн рублей.
В настоящее время завершена процедура ознакомления подследственных с материалами уголовного дела, которая длилась почти год. Следствием собрана достаточная доказательственная база, в связи с чем уголовное дело почти в 300 томах направлено в суд для рассмотрения по существу.
Ранее приговором суда другим трем фигурантам этого уголовного дела, которые заключили досудебное соглашение о сотрудничестве и активно содействовали раскрытию и расследованию преступлений, назначено условное наказание."
/news/item/1646675/,pskov,В Великих Луках перед судом предстанет бизнесмен по обвинению в попытке подкупить полицейского полумиллионной взяткой,['взятка'],07 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области завершено расследование уголовного дела в отношении великолукского предпринимателя. Он обвиняется в совершении преступления, предусмотренного п. «б» ч.4 ст.291 УК РФ (дача взятки должностному лицу)По версии следствия, 28 июля 2021 года на автозаправочной станции в г.Великие Луки обвиняемый, будучи ранее привлеченным великолукскими полицейскими к административной ответственности за управление транспортным средством в состоянии алкогольного опьянения, чтобы избежать наказания передал действующему согласно легенде прикрытия оперативному сотруднику по борьбе с экономическими преступлениями и противодействию коррупции, взятку в виде денег в размере 500 тысяч рублей, после чего был задержан.Уголовное дело было возбуждено по материалам оперативно-розыскной деятельности ОЭБ и ПК УМВД России по г.Великие Луки.В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утверждённым обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1745231/,pskov,В Пскове сотрудник автодорожного надзора подозревается в коррупционном преступлении,['взятка'],05 Февраля 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области по материалам оперативно-розыскной деятельности ОЭБ и ПК УМВД России по городу Пскову возбуждено уголовное дело в отношении государственного инспектора территориального отдела государственного автодорожного надзора по Псковской области Северо-Восточного межрегионального управления государственного автодорожного надзора Федеральной службы по надзору в сфере транспорта. Он подозревается в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение должностным лицом взятки в виде денег за незаконное бездействие в пользу взяткодателя).
По версии следствия, 3 октября 2022 года подозреваемый через посредника получил взятку в виде денег в размере 15 тысяч рублей путем перевода на банковский счет супруги за беспрепятственное прохождение большегрузного автомобильного транспорта взяткодателя через стационарный контрольный пункт в городе Пскове с возможным превышением допустимой нагрузки на ось, а соответственно не привлечение виновных лиц к ответственности за нарушение норм транспортной безопасности.
Сегодня ночью следователи совместно с оперативниками при силовой поддержке бойцов отряда специального назначения «Гром» УКОН УМВД России по Псковской области провели шесть обысков по месту работы и жительства всех фигурантов, в ходе которых изъяли наличные денежные средства и другие предметы и документы, имеющие доказательственное значение.
В настоящее время подозреваемый задержан в процессуальном порядке. Проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления."
/news/item/1644101/,pskov,В Великих Луках два преподавателя ВУЗа признаны виновными в совершении коррупционных преступлений,['взятка'],01 Февраля 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Псковской области доказательства признаны судом достаточными для вынесения приговора в отношении декана одного из факультетов ФГБОУ ВО «Великолукская государственная сельскохозяйственная академия» и его заместителя. Они признаны виновными в совершении восьми эпизодов получения взяток (п. «а» ч.5 ст.290 УК РФ).
Установлено, что в 2016-2019 гг. злоумышленники, находясь по месту работы и в иных местах, систематически получали от студентов разные суммы взяток как наличными, так переводом на банковские карты за допуск к сдаче сессий без фактического посещения занятий и успешную сдачу зачетов, экзаменов и практик без фактической проверки знаний. Общий размер незаконного обогащения осужденных составил свыше 400 тысяч рублей.
Подсудимые признали свою вину полностью и раскаялись в содеянном. Суд назначил каждому из них наказание в виде штрафа в размере 2 100 000 рублей с лишением права заниматься педагогической деятельностью сроком на три года. Кроме того, часть имущества злоумышленников изъяли в доход государства. Приговор суда в законную силу не вступил."
/news/item/1700149/,pskov,В Пыталово дальнобойщик признан виновным в попытке подкупить таможенника,['взятка'],31 Января 2024,"Собранные следственными органами Следственного комитета Российской Федерации по Псковской области доказательства признаны судом достаточными для вынесения приговора в отношении жителя Северной Македонии. Он признан виновным в покушении на дачу взятки сотруднику таможенной службы (ч.3 ст.30, ч.3 ст.291 УК РФ).Установлено, что 30 апреля 2022 года злоумышленник, в момент прохождения российско-латвийской границы в Пыталовском районе, при подстрекательстве польского дальнобойщика пытался дать взятку в размере 250 евро сотруднику таможенного поста в интересах своего земляка, в действиях которого усматривались признаки административного правонарушения, совершенного в транспортной сфере, однако был задержан с поличным.Приговором суда виновному назначено наказание в виде штрафа в размере 30 тысяч рублей.Уголовное дело было возбуждено и расследовано по материалам оперативно-розыскной деятельности отдела по противодействию коррупции Псковской таможни и Псковского линейного отдела МВД России на транспорте."
/news/item/1844661/,pskov,В Пскове бывший сотрудник автодорожного надзора подозревается в получении взятки,['взятка'],26 Января 2024,"Следственными органами Следственного комитета Российской Федерации по Псковской области по материалам оперативно-розыскной деятельности УФСБ России по Псковской области и ОЭБ и ПК УМВД России по г. Пскову возбуждено уголовное дело в отношении бывшего государственного инспектора территориального отдела государственного автодорожного надзора по Псковской области Северо-Восточного межрегионального управления государственного автодорожного надзора Федеральной службы по надзору в сфере транспорта. Он подозревается в совершении преступления, предусмотренного ч.3 ст.290 УК РФ (получение должностным лицом через посредника взятки в виде денег за незаконное бездействие в пользу взяткодателя).По версии следствия, осенью 2022 года подозреваемый через посредника получил взятку в виде денег в размере 20 тысяч рублей за беспрепятственное прохождение большегрузного автомобильного транспорта взяткодателя через стационарный контрольный пункт в городе Пскове при наличии некорректно заполненных сопроводительных документов на груз и непривлечение к ответственности за нарушение норм транспортной безопасности.В настоящее время следователями проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления.Кроме того, в настоящее время судом рассматривается уголовное дело по обвинению фигуранта в совершении ряда аналогичных преступлений."
/news/item/1691657/,pskov,В Печорском районе мужчина признан виновным в даче взятки таможеннику за ввоз санкционных продуктов,['взятка'],18 Декабря 2023,"Собранные следственными органами Следственного комитета Российской Федерации по Псковской области доказательства признаны судом достаточными для вынесения приговора в отношении иностранного гражданина. Он признан виновным в совершении преступления, предусмотренного ч.3 ст.30, ч.3 ст.291 УК РФ (покушение на дачу взятки). Уголовное дело было возбуждено по материалам оперативно-розыскной деятельности отдела по противодействию коррупции Псковской таможни и Псковского линейного отдела МВД России на транспорте.Установлено, что 19 марта 2022 года злоумышленник, управляя крупнотоннажным грузовым автомобилем, перевозил через границу Российской Федерации произведенные заграницей мясные продукты в количестве 18,5 тонн, в отношении которых установлены специальные правила. Находясь на территории таможенного поста в Печорском районе, он пытался подкупить инспектора Псковской таможни взяткой в размере 1200 евро за беспрепятственное прохождение таможенного оформления, однако был задержан с поличным.Приговором суда виновному назначено наказание в виде штрафа в размере 300 тысяч рублей, который им уплачен."
/news/item/1705366/,pskov,В Палкино перед судом предстанет бывшая сотрудница отделения почтовой связи по обвинению в присвоении денег,['присвоение'],07 Декабря 2023,"Следственными органами Следственного комитета Российской Федерации по Псковской области завершено расследование уголовного дела в отношении бывшего начальника отделения почтовой связи. Она обвиняется в совершении преступления, предусмотренного ч.3 ст.160 УК РФ (присвоение, то есть хищение чужого имущества, вверенного виновному, совершенное лицом с использованием своего служебного положения).
По версии следствия, в период с 2018 по 2020 гг. обвиняемая, выполняя обязанности по должности начальника отделения почтовой связи Псковского почтампа УФПС Псковской области – филиала ФГУП «Почта России», используя свое служебное положение совершила хищение вверенных ей денежных средств из кассы отделения на общую сумму свыше 11 тысяч рублей.
В настоящее время следствием собрана достаточная доказательственная база, в связи с чем уголовное дело с утвержденным обвинительным заключением направлено в суд для рассмотрения по существу."
/news/item/1862022/,pskov,В городе Пскове ранее судимый мужчина обвиняется в даче взятки сотруднику полиции,['взятка'],22 Августа 2023,"Следственными органами Следственного комитета Российской Федерации по Псковской области по материалам ОЭБ и ПК УМВД России по городу Пскову возбуждено уголовное дело в отношении 24-летнего местного жителя по признакам преступления, предусмотренного п. «б» ч. 4 ст. 291 УК РФ (дача взятки должностному лицу через посредника за совершение заведомо незаконных действий, совершенная в крупном размере).
 По версии следствия, 15 февраля 2024 года мужчина через посредников передал сотруднику полиции, действовавшему в рамках оперативного эксперимента, часть денежных средств от общей суммы обещанной взятки в размере двухсот тысяч рублей за незаконные действия полицейского по передаче взяткодателю приобщенного к материалу проверки поддельного паспорта. Противоправные действия взяткодателя были пресечены сотрудниками полиции.
 В настоящее время мужчине предъявлено обвинение в даче взятки, и по ходатайству следствия судом избрана мера пресечения в виде заключения под стражу. По уголовному делу проводятся следственные действия, направленные на установление всех обстоятельств совершенного преступления."
